question,choices,answer
"The ground wave eventually disappears as one moves away from the transmitter because of","[""interference from the sky wave"",""loss of line \u2013 of \u2013 sight conditions"",""maximum single-hop distance limitation"",""tilting""]",3
"in electromagnetic waves, polarization means","[""the physical orientation of magnetic field in space"",""the physical orientation of electric field in space"",""ionization"",""the presence of positive and negative ions""]",1
"an electromagnetic waves travel in free space, only one of the following can happen to them.","[""absorption"",""attenuation"",""refraction"",""reflection""]",1
"the absorption of a radio waves by the atmosphere depends on","[""their frequency"",""their distance from the transmitter"",""the polarization of the waves"",""the polarization of the atmosphere""]",0
"diffraction of electromagnetic waves","[""is caused by reflections from the ground"",""arises only with spherical wave fronts"",""will occur when the waves pass through a large slot"",""may occur around the edge of a sharp object""]",3
"In an electromagnetic wave the electric field is","[""Parallel to both magnetic field and the wave direction"",""Perpendicular to both the magnetic field and the wave direction"",""Parallel to the magnetic field and perpendicular to the wave direction"",""Perpendicular to the magnetic field and parallel to the wave direction""]",1
"The highest frequencies are found in","[""X-rays"",""Radio waves"",""Ultraviolet rays"",""Radar waves""]",0
"Electromagnetic waves transport","[""Wavelength"",""Charge"",""Frequency"",""Energy""]",3
"The ionosphere is a region of ionized gas in the upper atmosphere. The ionosphere is responsible for","[""The blue color of the sky"",""Rainbows"",""Long distance radio communication"",""The ability of satellites to orbit the earth""]",2
"Light of which the following colors has the shortest wavelength","[""Red"",""Yellow"",""Blue"",""Green""]",2
"The quality in sound that corresponds to color in light is","[""Amplitude"",""Resonance"",""Waveform"",""Pitch""]",3
"All real images","[""Are erect"",""Can appear on screen"",""Are inverted"",""Cannot appear on a screen""]",1
"When a beam of light enters one medium from another, a quality that never changes is its","[""Direction"",""Frequency"",""Speed"",""Wavelength""]",1
"Relative to the angle of incidence, the angle of refraction","[""Is smaller"",""Is larger"",""Is the same"",""Either A or B above""]",3
"A light ray enters one medium from another along the normal. The angle of refraction is","[""0"",""90 degrees"",""Equal to the critical angle"",""Dependent on the indexes of refraction of the two media""]",3
"What layer aids MF surface-wave propagation a little and reflects some HF waves in daytime?","[""E layer"",""D layer"",""F1 layer"",""F2 layer""]",0
"Dispersion is the term used to describe","[""The splitting of white light into its component colors in refraction"",""The propagation of light in straight lines"",""The bending of a beam of light when it goes from one medium to another"",""The bending of a beam of light when it strikes a mirror""]",0
"The depth of an objects submerged in a transparent liquid","[""Always seems less than its actual depth"",""Always seems more than its actual depth"",""May seems more than its actual depth, depending on the index of refraction of the liquid"",""May seem less or more than its actual depth depending on the angle of view""]",0
"Total internal reflection can occur when light passes from one medium to another","[""That has a lower index of refraction"",""That has a larger index of refraction"",""That has the same index of refraction"",""At less than the critical angle""]",0
"When the light ray approaches a glass-air interface from the glass side at the critical angle, the angle of refraction is","[""0"",""90 degrees"",""45 degrees"",""Equal to the angle of incidence""]",1
"The brightness of light source is called its luminous intensity , whose unit is","[""Candela"",""Lux"",""Lumen"",""Footcandle""]",0
"Luminous efficiency is least for a","[""Low-wattage light bulb"",""Mercury vapor lamp"",""High-wattage light bulb"",""Fluorescent tube""]",0
"The minimum illumination recommended for reading is","[""8000 cd"",""8000 lx"",""8000 lm"",""800 W""]",1
"Light enters a glass plate whose index of refraction is 1.6 at an angle of incidence of 30 degrees . the angle of refraction is","[""18 degrees"",""48 degrees"",""19 degrees"",""53 degrees""]",0
"Light leaves a slab of transparent material whose index of refraction is 2 at an angle of refraction of 0 degrees. The angle of incidence is","[""0 degrees"",""45 degrees"",""30 degrees"",""90 degrees""]",0
"Light enters a glass plate at an angle of incidence of 40 degrees and is refracted at an angle refraction of 25 degrees. The index refraction of the glass is","[""0.625"",""1.52"",""0.66"",""1.6""]",1
"An underwater swimmer shines a flash light beam upward at an angle of incidence of 40 degrees. The angle of refraction is 60 degrees. The index of refraction of water is","[""0.67"",""1.3"",""0.74"",""1.5""]",1
"The critical angle of incidence for light going from crown glass (n=1.5) to ice (n=1.3) is","[""12 degrees"",""50 degrees"",""42 degrees"",""60 degrees""]",3
"The solid angle subtended by a hemisphere about its center is","[""\u03c0\/2 sr"",""2\u03c0 sr"",""\u03c0 sr"",""depends on the radius of the hemisphere""]",1
"The luminous flux emitted by a 60-cd isotropic light source is concentrated on an area of 0.5 m<sup>2</sup>. The illumination of the area is","[""9.6 lx"",""377 lx"",""120 lx"",""1508 lx""]",3
"Microwave signals propagate by way of the","[""Direct wave"",""Sky wave"",""Surface wave"",""Standing wave""]",0
"The ionosphere causes radio signals to be","[""Diffused"",""Absorbed"",""Refracted"",""Reflected""]",2
"Ground wave communications is most effective in what frequency range?","[""300 KHz to 3 MHz"",""3 to 30 MHz"",""30 to 300 MHz"",""Above 300 MHz""]",0
"The ionosphere has its greatest effect on signals in what frequency range?","[""300 KHz to 3 MHz"",""3 to 30 MHz"",""30 to 300 MHz"",""Above 300 MHz""]",1
"The type of radio wave responsible for long distance communications by multiple skips is the","[""Ground wave"",""Direct wave"",""Surface wave"",""Sky wave""]",3
"Line of sight communications is not a factor in which frequency range?","[""VHF"",""UHF"",""HF"",""Microwave""]",2
"A microwave-transmitting antenna is 550ft high. The receiving antenna is 200ft high. The minimum transmission distance is","[""20 mi"",""33.2 mi"",""38.7 mi"",""53.2 mi""]",3
"To increase the transmission distance of UHF signal, which of the following should be done?","[""Increase antenna gain"",""Increase antenna height"",""Increase transmitter power"",""Increase receiver sensitivity""]",1
"States that power density is inversely proportional to the distance from its source.","[""Principle of reciprocity"",""Inverse square law"",""Huygen\u2019s Princple"",""Faraday\u2019s law""]",1
"gets in contact with the ionosphere and reflected by it.","[""Space wave"",""Sky wave"",""Surface wave"",""Satellite wave""]",1
"Highest layer in the ionosphere","[""F1"",""D"",""F2"",""E""]",2
"What is the primary cause of ionization in the atmosphere?","[""Sun spot"",""Cosmic rays"",""Galactic disturbance"",""Ultraviolet radiation""]",3
"Which layer does not disappear at night?","[""D"",""E"",""F1"",""F2""]",3
"Which of the following uses surface wave propagation?","[""ELF"",""VLF"",""MF"",""All of these""]",3
"The ability of the ionosphere to reflect a radio wave back to the earth is determined by","[""Operating frequency"",""Ion density"",""Angle of incidence"",""All of these""]",3
"Highest frequency that can be used for sky wave propagation between two given points on earth.","[""Critical frequency"",""MUF"",""Cut \u2013off frequency"",""UHF""]",1
"The shortest distance measured along the earth’s surface that a sky wave is returned to earth.","[""MUF"",""Quarter-wavelength"",""Skip distance"",""Skip zone""]",2
"Fluctuation in the signal strength at the receiver.","[""Interference"",""Fading"",""Tracking"",""Variable frequency""]",1
"Two or more antennas are used separated by several wavelengths","[""Space diversity"",""Frequency diversity"",""Hybrid diversity"",""Polarization diversity""]",0
"Two or more receivers are used using a single antenna.","[""Space diversity"",""Frequency diversity"",""Hybrid diversity"",""Polarization diversity""]",1
"One of the following is not a cause of fading.","[""Interference between upper and lower rays of a sky wave."",""Sky waves arriving at different number of hops"",""Interference due to ground reflected wave and sky wave"",""Diversity""]",3
"What do you call the gigantic emissions of hydrogen from the sun?","[""Solar flares"",""SIDs"",""Kennely-Heaviside"",""Sun spots""]",0
"Sudden ionospheric disturbance","[""Solar flares"",""SIDs"",""Sun spots"",""Intertropical convergence""]",1
"A means beyond the line of sight propagation of UHF signals.","[""Microwave propagation"",""Space wave propagation"",""Troposcatter propagation"",""Surface wave propagation""]",2
"Two directional antennas are pointed so that their beams intersect in the troposphere.","[""Skywave"",""Surface wave"",""Microwave"",""Troposcatter""]",3
"Super refraction.","[""Ducting"",""Trposcatter"",""Skywave"",""Space wave""]",0
"A layer of warm air trapped above cooler air","[""Troposphere"",""SID"",""Duct"",""Huygen\u2019s principle""]",2
"Corresponds to voltage","[""Electric field"",""Magnetic field"",""Gyro"",""Direction of propagation""]",0
"Absence of reception","[""Skip distance"",""Maximum usable"",""Shadow zone"",""Twilight zone""]",2
"Each point in a spherical waveform maybe a source of a secondary spherical wavefront.","[""Senll\u2019s law"",""Huygen\u2019s principle"",""Rayleigh\u2019s principle"",""De Morgan\u2019s theorem""]",1
"Ducting occurs in which region of the atmosphere?","[""Stratosphere"",""Troposphere"",""Ionosphere"",""Ozone layer""]",1
"When is the E region most ionized?","[""At midday"",""At midnight"",""At duck"",""At dawn""]",0
"Transequatorial propagation is best during","[""Night time"",""Afternoon or early evening"",""Noontime"",""Morning""]",1
"Which of the following is most affected by knife-edge refraction?","[""Very high and ultra high frequencies"",""High frequencies"",""Medium frequency"",""Low frequency""]",0
"Which ionosphere layer has an average height of 225 km at night?","[""D layer"",""E layer"",""F1 layer"",""F2 layer""]",3
"A range of frequency little attenuated by the atmosphere is called","[""slide"",""door"",""window"",""frame""]",2
"It is defined as either of two acute angles formed by the intersection of the two portions of the tropospheric scatter beam tangent to the earth’s surface.","[""critical angle"",""scatter angle"",""backscatter angle"",""sidescatter angle""]",1
"It is a device that permits two different transmitters to operate with a single antenna.","[""duplexer"",""diplexer"",""isolator"",""circulator""]",1
"It is a gradual shift in polarization of the signal in the medium.","[""fading"",""faraday effect"",""ghosting"",""multipath fading""]",1
"A diversity scheme wherein the receiver receives two fading signals from two different directions.","[""frequency diversity"",""time diversity"",""angle diversity"",""space diversity""]",2
"The radio wavelength known as _________ falls within the medium frequency range.","[""centimetric wave"",""decametric wave"",""hectometric wave"",""myriametric wave""]",2
"The most dense of all ionized layer of the ionosphere","[""E"",""F1"",""F2"",""D""]",2
"The frequency band used as sub-carriers, or signals which carry the baseband modulating information but in turn modulate another higher-frequency carrier is _________.","[""LF"",""MF"",""VLF"",""VH""]",0
"The range of frequency band termed as super high frequency (SHF) is within _________.","[""30 \u2013 300 GHz"",""30 \u2013 300 MHz"",""3 \u2013 30 GHz"",""300 \u2013 3000 MHz""]",2
"Electric field that lies in a plane perpendicular to the earth’s surface.","[""circular polarization"",""vertical polarization"",""horizontal polarization"",""elliptical polarization""]",1
"The magnetic field of an antenna is perpendicular to the earth. The antenna’s polarization","[""is vertical"",""is horizontal"",""is circular"",""cannot be determined from the information given""]",1
"The surface wave is effective only at frequencies below about _________ MHz.","[""30"",""3"",""300"",""0.3""]",1
"What wave propagation are attenuated within a few miles?","[""space"",""sky"",""ground"",""direct""]",2
"What happens to wave velocity as it passes from air to ionosphere?","[""increases"",""decreases"",""remain the same"",""not a factor""]",0
"What wavelength radiations tend to be transmitted entirely between ionosphere and earth?","[""long"",""short"",""medium"",""millimeter""]",0
"What effect do sunspots have on the ionosphere?","[""makes more rare and regular"",""makes more dense and irregular"",""makes less dense and regular"",""makes less dense and irregular""]",1
"What is a double-hop signal?","[""ground, ionosphere, ground and back to ionosphere"",""ground, ground, ionosphere, and ionosphere"",""ionosphere, ionosphere, ground and ground"",""ionosphere, ground, ionosphere and back to ground""]",3
"What is the major cause of fading?","[""phase difference"",""topographic variation"",""climate"",""ionosphere variation""]",3
"Where is the skip zone?","[""between the sky and the first reflected wave"",""between end of ground and first reflected wave"",""between end of ground and farthest reflected wave"",""between the end of sky to the farthest reflected wave""]",1
"What wave is the same day or night?","[""sky"",""space"",""direct"",""ground""]",3
"Why do HF communications system shift frequencies at different times of day?","[""to take advantage of best reflected signals"",""to conserve the energy used"",""to create diversity"",""to improve noise performance""]",0
"Scatter transmission is used at what frequencies?","[""EHF and VLF"",""HF and VHF"",""VHF and UHF"",""ELF and VLF""]",2
"Over what areas ducts often form?","[""desert"",""water"",""forest"",""mountain""]",1
"Polarization named for _________ component of the wave?","[""static"",""magnetic"",""direction"",""propagation""]",0
"What polarization is employed in an AM broadcasting?","[""horizontal"",""parallel"",""transverse"",""vertical""]",3
"How does the bandwidth of the transmitted signal affect selective fading?","[""It is more pronounced at wide bandwidths"",""It is more pronounced at narrow bandwidths"",""It is equally pronounced in both narrow and wide bandwidth"",""The receiver bandwidth determines the selective fading effect""]",0
"How much farther does the radio-path horizon distance exceed the geometric horizon?","[""By approximately 15% of the distance"",""By approximately twice the distance"",""By approximately one-half the distance"",""By approximately four times the distance""]",0
"Determine the dB gain of a receiving antenna which delivers a microvolt signal to a transmission line over that of an antenna that delivers a 2 microvolt signal under identical circumstances.","[""-6"",""-3"",""6"",""3""]",0
"What is transequatorial propagation","[""Propagation between two points at approximately the same distance north and south of the magnetic equator"",""Propagation between two points on the magnetic equator"",""Propagation between two continent by way of ducts along the magnetic equator"",""Propagation between any two station at the same latitude""]",0
"Knife edge diffraction:","[""Is the bending of UHF frequency radio waves around a building, mountain or obstruction"",""Causes the velocity of wave propagation to be different than the original wave"",""Both a and b above"",""Attenuate UHF signal""]",2
"The average range for VHF communications is","[""5 miles"",""15 miles"",""30 miles"",""100 miles""]",2
"A 500 kHz radiates 500 W of power. The same antenna produces a field strength equal 10 1.5 mV/m, If the power delivered by the antenna is increased to 1 kW, what would be the expected field intensity?","[""3 mV\/m"",""1.732 mV\/m"",""2.12 mV\/m"",""1.456 mV\/m""]",2
"The earth’s layer is struck by a meteor; a cylindrical region of free electron is formed at what layer of the ionosphere?","[""F1 layer"",""E layer"",""F2 layer"",""D layer""]",1
"What happens to a radio wave as it travels in space and collides with other particles","[""Kinetic energy is given up by the radio wave"",""Kinetic energy is gained by the radio wave"",""Aurora is created"",""Nothing happens since radio waves have no physical substance""]",0
"Find the characteristic impedance of polyethylene, which has a dielectric constant of 2.4.","[""163.9 ohms"",""377 ohms"",""243 ohms"",""250 ohms""]",2
"What is the maximum range for signals using transequatorial propagation","[""About 1000 miles"",""About 2500 miles"",""About 5000 miles"",""About 7500 miles""]",2
"Calculate the electric field intensity in millivolts per meter at 30 kW from a 5 km source.","[""190 mV\/m"",""95.49 uV\/m"",""0.189 W\/m"",""13.416 V\/m""]",0
"What is the index of refraction of a certain substance if light travels through the substance at 100 meters at a time it is 140 meter to air?","[""1.183"",""1.4"",""0.714"",""0.845""]",1
"What s selective fading?","[""A fading effect caused by small changes in beam heading at the receiving station"",""A fading caused by phase difference between radio wave components of the same transmission as experienced at the receiving station"",""A fading caused by large changes in the height of the ionosphere as experienced at the receiving station"",""A fading effect caused by the time difference between the receiving and transmitting stations""]",1
"To what distance is VHF propagation ordinarily limited?","[""Approximately 100 miles"",""Approximately 500 miles"",""Approximately 1500 miles"",""Approximately 2000 miles""]",1
"Why does the radio path horizon distance exceed the geometric horizon?","[""E-layer skip"",""D-layer skip"",""Auroral skip"",""Radio waves may be bent""]",3
"Determine the effective radiated power of 20kW TV broadcast transmitter whose antenna has a field gain of 2.","[""40 kW"",""80 kW"",""20 kW"",""10 kW""]",1
"What is the major cause of selective fading?","[""Small changes in beam heading at the receiving station"",""Large changes in the height of the ionosphere as experienced in the receiving station"",""Time difference between the receiving and transmitting station"",""Phase differences between the radio waves components of the same transmission as experienced in the receiving station""]",3
"Determine the critical frequency value of an HF signal if its maximum usable frequency is 7050.50 kHz at 35 degrees incidence.","[""4936.8 kHz"",""5775 kHz"",""4044 kHz"",""4908.75 kHz""]",1
"What is the propagation effect called when phase difference between radio wave components of the same transmission are experiences at the recovery station?","[""Faraday\u2019s rotation"",""Diversity reception"",""Selective fading"",""Phase shift""]",2
"What is the best time for transequatorial propagation?","[""Morning"",""Noon"",""Afternoon or early evening"",""Transequatorial propagation only works at night""]",2
"The dielectric strength of a certain medium is about 2.85 MV/m. what is the maximum power density of an electromagnetic wave in this medium?","[""23.9 GW\/ sq. m"",""67.7 GW\/ sq. m"",""21.5 GW\/ sq. m"",""6.86 GW\/ sq. m""]",2
"What is the knife edge diffraction?","[""Allows normally line-of-sight signals to bend around sharp edges, mountain ridges, building and other obstruction"",""Arching in sharp bends of conductors"",""Phase angle image rejection"",""Line-of-sight causing distortion to other signals""]",0
"The total power delivered to the radiator of an isotropic antenna is 200, 000 W. determine the power density at a distance of 100 meters","[""1.59 W\/sq m"",""24.49 W\/sq m"",""3.18 W\/sq m"",""244.95 W\/sq m""]",0
"The bending of radio waves passing over the top of a mountain range disperse a weak portion of the signal behind the mountain is","[""Eddy-current phase effect"",""Knife-edge diffraction"",""Shadowing"",""Mirror refraction effect""]",1
"A radio wave moves from air (er=1) to glass (er=7.8). Its angle of incidence is 20 degrees. What is the angle of refraction?","[""7 degrees"",""29 degrees"",""10.3 degrees"",""72.79 degrees""]",0
"A dipole antenna requires to be feed with 20 kW of power to produce a given signal strength available with an input power of 11 kW. What is the dB gain obtained by the use of the reflector? (gain referred to this particular dipole)","[""-2.6 dB"",""2.6 dB"",""5.19 dB"",""-5.19 dB""]",1
"What is a wavefront?","[""A voltage pulse in a conductor"",""A current pulse in a conductor"",""A voltage pulse across a resistor"",""A fixed point in an electromagnetic wave""]",3
"What is meant by referring to electromagnetic waves as having circular polarization?","[""The electric field is bent into a circular shape"",""The electric field rotates"",""The electromagnetic wave continues to circle the earth"",""The electromagnetic wave has been generated by a quad antenna""]",1
"An automobile travels at 90 km/h, find the time between fades if the car uses a cellphone at 800 MHz","[""11.2 ms"",""15 ms"",""7.5 ms"",""4.7 ms""]",2
"When the electric field is parallel to the surface of the earth, what is the polarization of the electromagnetic wave?","[""Vertical"",""Horizontal"",""Circular"",""Elliptical""]",1
"At what speed do electromagnetic waves travel in space?","[""Approximately 300 million meters per second"",""Approximately 468 million meters per second"",""Approximately 186, 300 feet per second"",""Approximately 300 million miles per second""]",0
"The maximum number of free electrons in a certain ionospheric layer is 3.256 x 10^13 per cu m. the critical frequency is","[""51.355 MHz"",""17.118 MHz"",""34.237 MHz"",""5.706 MHz""]",0
"What are electromagnetic waves?","[""Alternating currents in the core of an electromagnet"",""A wave consisting of two electric fields at right angles to each other"",""A wave consisting of an electric field and a magnetic field at right angles to each other"",""A wave consisting of two magnetic fields at right angles to each other""]",2
"When the electric field is perpendicular to the surface of the earth, what is the polarization of the electromagnetic wave?","[""Circular"",""Vertical"",""Horizontal"",""Elliptical""]",1
"Determine the refractive index of an ionospheric layer with 1.567×10^6 free electrons per cu m. The frequency of the radio wave is 32 kHz.","[""0.999"",""0.936"",""0.956"",""0.987""]",1
"What is meant by electromagnetic waves as horizontally polarized?","[""The electric field is parallel to the earth"",""The magnetic field is parallel to the earth"",""Both the electric and magnetic field are horizontal"",""Both the electric and magnetic field are vertical""]",0
"Why do electromagnetic waves not penetrate a good conductor to any great extent?","[""The electromagnetic field induces currents in the insulator"",""The oxide on the conductor surface acts as a shield"",""Because of eddy currents"",""The resistivity of the conductor dissipates the field""]",2
"A transmitter has a power output of 250 W at a carrier frequency of 325 MHz. it is connected to an antenna with a gain of 12 dBi. The receiving antenna is 10 km away and has a gain of 5 dBi. Calculate the power delivered to the receiver, assuming free-space propagation. Assume that there are no losses or mismatches in the system.","[""404 nW"",""2.04 nW"",""960 nW"",""680 nW""]",3
"What is the frequency to use for skywave propagation if the critical frequency is 15 MHZ and the angle of radiation is 60 degrees?","[""17.32 MHz"",""30 MHz"",""25.5 MHz"",""14.722 MHz""]",2
"When the magnetic field is parallel tot eh surface of the earth, what is the polarization of the electromagnetic field?","[""Circular"",""Horizontal"",""Elliptical"",""Vertical""]",3
"What is the index of refraction of a certain medium if the velocity of propagation of a radio wave in this medium is 1.527×10^8 m/s?","[""0.509"",""0.631"",""0.713"",""1.965""]",0
"When the magnetic field is perpendicular to the surface of the earth, what is the polarization of the electromagnetic field?","[""Circular"",""Horizontal"",""Elliptical"",""Vertical""]",1
"Frequencies most affected by knife-edge refraction are","[""Low and medium frequencies"",""High frequencies"",""Very high and ultra high frequencies"",""100 kHz to 3 MHz""]",2
"The ionosphere causes radio signals to be","[""Diffused"",""Absorbed"",""Refracted"",""Reflected""]",2
"To increase the transmission distance of a UHF signal, which of the following should be done?","[""Increase antenna gain"",""Increase antenna height"",""Increase transmitter power"",""Increase receiver sensitivity""]",1
"A receiver-transmitter station used to increase the communications range of VHF, UHF and microwave signals is called a(an)","[""Transceiver"",""Remitter"",""Repeater"",""Amplifier""]",2
"A taxi company uses a central dispatcher with an antenna at the top of a 25 m tower, to communicate with the taxicabs. The taxi antennas are on the roofs of the cars, approximately 1.5 m above the ground. Calculate the maximum communication distance between the dispatcher and a taxi.","[""25.7 km"",""8.8 km"",""21 km"",""10.1""]",0
"Microwave propagate by means of","[""Direct wave"",""Sky wave"",""Surface wave"",""Standing wave""]",0
