question,A,B,C,D,E,answer,explanation
<p>A file removes the metal during</p>,forward stroke,return stroke,both forward and return strokes,none of these,,A,
"<p>In spot welding, the spacing between two spot weld should not be less than</p>",<i>d</i>,1.5 <i>d</i>,3 <i>d</i>,6 <i>d</i>,,C,
<p>Aluminium is the best material for making patterns because it is</p>,light in weight,easy to work,corrosion resistant,all of these,,D,
<p>Gagger is used for cleaning the moulding sand.</p>,Correct,Incorrect,,,,B,
"<p>In sheet metal work, the cutting force on the tool can be reduced by</p>",grinding the cutting edges sharp,increasing the hardness of tool,providing shear on tool,increasing the hardness of die,,A,
"<p>In order to get uniform thickness of the plate by rolling process, one provides</p>",camber on the rolls,offset on the rolls,hardening of the rolls,antifriction bearings,,A,
<p>A pouring basin acts as a reservoir for the molten metal.</p>,Agree,Disagree,,,,A,
"<p>In bending operation, the metal takes the shape of a punch.</p>",Yes,No,,,,A,
<p>The cold working of metals is carried out</p>,at the recrystallisation temperature,below the recrystallisation temperature,above the recrystallisation temperature,at any temperature,,B,
<p>Lancing is the operation of</p>,cutting a sheet of metal in a straight line along the length,removal of metal to the desired shape from the edge of a plate,cutting a sheet of metal through part of its length and then bending the cut portion,bending a sheet of metal along a curved axis,,C,
<p>Notching is the operation of</p>,cutting a sheet of metal in a straight line along the length,removal of metal to the desired shape from the edge of a plate,cutting a sheet of metal through part of its length and then bending the cut portion,bending a sheet of metal along a curved axis,,B,
<p>The shrinkage allowance for cast iron pattern is</p>,10 mm/m,16 mm/m,20 mm/m,26 mm/m,,A,
<p>An oxidising flame is obtained when equal volumes of oxygen and acetylene are supplied.</p>,True,False,,,,B,
<p>A neutral flame is obtained by supplying</p>,equal volumes of oxygen and acetylene,more volume of oxygen and less volume of acetylene,more volume of acetylene and less volume of oxygen,none of the above,,A,
<p>An oxidising process used for aluminium and magnesium articles is called</p>,galvanising,anodising,parkerising,sheradising,,B,
"<p>For welding plates of thickness less than 5 mm, its edges</p>",do not require bevelling,should be bevelled to a single-V or U-groove,should have a double-V or U-groove on one side,should have a double-V or U-groove on both sides,,A,
"<p>In order to cut mild steel, the cutting angle of chisel should be</p>",30°,45°,50°,60°,,D,
"<p>The operation of straightening a curved sheet metal, is known as</p>",drawing,squeezing,coining,planishing,,D,
"<p>The correct sequence for preparing a billet for extrusion process is pickling, alkaline cleaning, phosphate coating and lubricating with reactive soap.</p>",Yes,No,,,,A,
<p>Tandem drawing of wires and tubes is necessary because</p>,it is not possible to reduce at one stage,annealing is needed between stages,accuracy in dimensions is not possible otherwise,surface finish improves after every drawing stage,,B,
"<p>In a __________ , both cutting and non-cutting operations are performed at one station of the press in every stroke of the ram.</p>",simple die,progressive die,combination die,compound die,,C,
<p>Cold working requires much higher pressure that hot working.</p>,Correct,Incorrect,,,,A,
"<p>The operation of bending a sheet of metal along a curved axis, is known as</p>",plunging,notching,slitting,forming,,D,
"<p>In a __________ , two or more operations are performed simultaneously at the single stroke of the ram.</p>",simple die,progressive die,combination die,compound die,,B,
<p>A rip saw</p>,is a two man saw,is used for cutting along the grains of wood,has a narrow blade with two wooden handles,all of the above,,B,
<p>The welding set up is said to have reversed polarity when the work is connected to the negative terminal and the electrode holder to the positive terminal.</p>,Agree,Disagree,,,,A,
"<p>For welding plates of thickness more than 12.5 mm, its edges</p>",do not require bevelling,should be bevelled to a single-V or U-groove,should have a double-V or U-groove on one side,should have a double-V or U-groove on both sides,,D,
"<p>In electric resistance welding, voltage required for heating is</p>",1 to 5 volts,6 to 10 volts,11 to 20 volts,50 to 100 volts,,B,
<p>Most of the oxy-acetylene welding is done with</p>,neutral flame,oxidising flame,carburising flame,all of these,,A,
<p>The cutting edge of a chisel should be</p>,hardened,tempered,hardened and tempered,case hardened,,C,
<p>Scab is a casting defect which occurs as sand patches on the upper surface of a casting.</p>,True,False,,,,A,
"<p>In order to check the clearance between two mating surfaces, a __________ gauge should be used.</p>",ring,plug,feeler,,,C,
"<p>When the weld is made from left to right, it is known as back-hand welding.</p>",Agree,Disagree,,,,A,
<p>The current in electric resistance welding can be regulated by</p>,varying the input supply,changing the primary turns of the transformer,changing the secondary turns of the transformer,any one of the above,,B,
"<p>In a cold chamber die casting machine, only non-ferrous alloys with __________ are casted.</p>",low melting temperature,high melting temperature,,,,B,
<p>A mortise gauge is a</p>,striking tool,planing tool,boring tool,marking tool,,D,
