question,A,B,C,D,E,answer,explanation
"<p>For gas welding, the presure desired at the welding torch for acetylene is</p>",7 to 103 kN/m<sup>2</sup>,70 to 280 kN/m<sup>2</sup>,280 to 560 kN/m<sup>2</sup>,560 to 840 kN/m<sup>2</sup>,,A,
<p>The process extensively used for making bolts and nuts is</p>,hot piercing,extrusion,cold peening,cold heading,,D,
<p>Spot welding is used for welding</p>,lap joints in plates having 0.025 mm to 1.25 mm thickness,lap joints in plates having thickness above 3 mm,butt joints in plates having 0.025 mm to 1.25 mm thickness,butt joints in plates having thickness above 3 mm,,A,
<p>Thermit welding is often used in</p>,replacing broken gear teeth,repairing broken shears,"joining rails, truck frames and locomotive frames etc.",all of the above,,D,
<p>The directional solidification in casting can be improved by using</p>,chills and chaplets,chills and padding,chaplets and padding,"chills, chaplets and padding",,B,
"<p>A sand employed on the faces of the pattern before moulding, is called</p>",green sand,dry sand,loam sand,parting sand,,D,
<p>Which of the following statement is wrong?</p>,The angular clearance on dies varies from 0.5° to 1°.,"In drawing operation, the metal flows due to plasticity.","In press operation, the size of the pierced hole is independent of the size of punch.",none of the above,,D,
"<p>When two metal pieces of different thicknesses are to be welded by projection welding, then the projections should be made on __________ metal piece.</p>",thinner,thicker,,,,B,
"<p>In fore-hand welding, the angle between the welding rod and the work is kept as</p>",30°-40°,40°-50°,50°-60°,60°-70°,,A,
<p>The minimum size of a bloom is</p>,5 cm x 5 cm,10 cm x 10 cm,15 cm x 15 cm,20 cm x 20 cm,,C,
"<p>The binder commonly used in making oil sand, is</p>",clay-type binder,organic-type binder,inorganic-type binder,any one of these,,B,
<p>The material which can be best cut with oxygen cutting process is</p>,mild steel,brass,copper,aluminium,,A,
"<p>In fore-hand welding, the weld is made</p>",from left to right,from right to left,first from left to right and then from right to left,either from left to right or from right to left,,B,
"<p>In spot welding, the distance between the nearest edge of the plate and centre of weld should be equal to</p>",<i>d</i>,1.5 <i>d</i>,3 <i>d</i>,6 <i>d</i>,,B,
"<p>Thermit, used in thermit welding, is a mixture of</p>",charcoal and iron oxide,charcoal and aluminium,iron oxide and aluminium,"charcoal, iron oxide and aluminium",,C,
<p>The width of slot cut by a hacksaw blade is __________ the width of the blade.</p>,equal to,less than,greater than,,,C,
