<p>Two identical FETs each having parameters <i>g</i><sub><i>m</i></sub> and <i>r</i><sub><i>d</i></sub> are connected is parallel. The composite FET has parameters</p>,0.5 <i>g</i><sub><i>m</i></sub> and 2 <i>r</i><sub><i>d</i></sub>,0.5 <i>g</i><sub><i>m</i></sub> and 0.5 <i>r</i><sub><i>d</i></sub>,2 <i>g</i><sub><i>m</i></sub> and 2 <i>r</i><sub><i>d</i></sub>,2 <i>g</i><sub><i>m</i></sub> and 0.5 <i>r</i><sub><i>d</i></sub>,,D,
<p>If <i>f</i> is more than <i>f</i><sub>unity</sub> the gain of op-amp becomes less than 1.</p>,True,False,,,,A,
"<p>For an amplifier the input output signals are shown in figure. The class of amplifier is<br/><img src=""/_files/images/electronics-and-communication-engineering/analog-electronics/344-722-1.png""/></p>",A,AB,B,C,,D,
<p>In a N-P-N transistor the function of the emitter is</p>,to emit or inject holes into the collector,to emit or inject electrons into the collector,to emit or inject electrons into the base,to emit or inject holes into the base,,C,
<p>The noise figure is</p>,3 dB,6 dB,6.6 dB,12 dB,,A,
<p>A Darlington pair is used for</p>,low distortion,high frequency range,high power gain,high current gain,,D,
"<p>In a shunt-shunt negative feedback amplifier, as compared to the basic amplifier</p>","both input and output impedances, decrease",input impedance decreases but output impedance increase,I/P impedance increases but O/P impedance decreases,both input and O/P impedance increases,,B,
<p>In rectifiers the use of RC filters is recommended when</p>,load current is high,load current is small,load current is neither high nor small,either (a) or (c),,B,
<p>The coupling capacitor mainly affects</p>,bandwidth,lower cut-off frequency,higher cut-off frequency,both lower as well as higher cut-off frequency,,B,
<p>A CE amplifier is the most common BJT amplifier.</p>,True,False,,,,A,
<p>The main drawback in the performance of shunt peaked wide band amplifier is</p>,two low gain at low frequency,poor phase response,reduce frequency at middle frequency,that the maximum gain of the stage is small,,B,
<p>A generator with an internal resistance of 600 Ω drives an amplifier whose input resistance is 400 Ω. The generator's open circuit voltages is 1 mV; the amplifier develops 100mV across an 8kΩ load. The current amplification is</p>,2.5,12.5,25,125,,B,
<p>In a CE amplifier circuit</p>,Q point must lie on both dc and ac load lines,Q point lies on dc load line,Q point lies on ac load line,Q point lies may or may not lie on both dc and ac load lines,,A,
<p>In a push pull circuit the two transistors are</p>,both <i>pnp</i>,both <i>npn</i>,one <i>pnp</i> and other <i>npn</i>,either (a) or (b),,C,
"<p>The oscillator shown in figure is a<br/><img src=""/_files/images/electronics-and-communication-engineering/analog-electronics/355-945-1.png""/></p>",Colpitt's oscillator,Hartley oscillator,Tuned emitter oscillator,Clapp oscillator,,A,
<p>In which configuration does output ac voltage appear between emitter and ground?</p>,CE,CB,CC,Both CE and CB,,C,
"<p>Figure represents a<br/><img src=""/_files/images/electronics-and-communication-engineering/analog-electronics/347-775-1.png""/></p>",JFET shunt switching circuit,JFET series switching circuit,JFET analog switch,multiplexing,,B,
<p>At high frequencies the output circuit of transistor amplifier reduces to</p>,a lead network,a lag network,either (a) or (b),neither (a) nor (b),,B,
<p>A pulse transformer uses</p>,ferrite core,air core,iron core,copper core,,A,
