question,A,B,C,D,E,answer,explanation
<p>Which of the following antennas is not wide band?</p>,Marconi,Helical,Folded dipole,Discone,,A,
"<p>While AM has __________ frequencies, FM has __________ number of sidebands.</p>","2, 3","3, 3","3, 5","3, infinite",,D,
<p>In VHS format diameter of head drum is about</p>,1 m,20 cm,6 cm,1 cm,,C,
<p>The correct sequence of subsystem in an FM receiver is</p>,"mixer, RF amplifier, limiter, IF amplifier, discriminator, audio amplifier","RF amplifier, mixer, IF amplifier, limiter, discriminator, audio amplifier","RF amplifier, mixer, limiter, discriminator, IF amplifier, audio amplifier","mixer, IF amplifier, limiter, audio amplifier, discriminator",,B,
"<p>A wave is frequency modulated with an index of 0.1 and its frequency is multiplied by 8 times, the modulation index is</p>",not changed,decreased 8 times,increased 4 times,increased 8 times,,A,
<p>Short circuited stubs are preferred to O.C stubs because</p>,O.C stubs are incapable of giving full range of reactances,O.C stubs are liable to radiate,O.C stubs are difficult to make and connect,none of the above,,B,
"<p>When ω<sub><i>m</i></sub> is the modulation frequency in frequency modulation, the modulation index is proportional to</p>",ω<sub><i>m</i></sub>,ω<sup>2</sup><sub><i>m</i></sub>,1/ω<sub><i>m</i></sub>,1/ω<sup>2</sup><sub><i>m</i></sub>,,C,
<p>A pre-emphasis circuit provides extra noise immunity by</p>,converting the phase modulation of FM,preamplifying the whole audio band,amplifying the higher audio frequencies,boosting the pass frequencies,,C,
"<p>The ratio <img src=""/_files/images/electronics-and-communication-engineering/communication-systems/537-998-1.png""/> for 100% amplitude modulation with identical total transmitted power (<i>m<sub>f</sub></i> is modulation index of FM) is</p>","<img src=""/_files/images/electronics-and-communication-engineering/communication-systems/538-998-1.png""/> <i>m<sub>f</sub></i><sup>2</sup>","<img src=""/_files/images/electronics-and-communication-engineering/communication-systems/128-6.72-1.png""/> <i>m<sup>2</sup><sub>f</sub></i>","<img src=""/_files/images/electronics-and-communication-engineering/communication-systems/128-6.72-1.png""/> <i>m<sub>f</sub></i><sup>3</sup>","<img src=""/_files/images/electronics-and-communication-engineering/communication-systems/538-998-1.png""/> <i>m<sup>3</sup><sub>f</sub></i>",,B,
<p>The function of a modulator is to</p>,separate two frequencies,extract information from the carrier,amplify the audio frequency signal,impress the information on to a RF carrier,,D,
<p>Which of the following radio waves are not reflected by ionosphere?</p>,Waves above 1 kHz,Waves above 1 MHz,Waves above 10 MHz,Waves above 30 MHz,,D,
<p>Square law modulators utilise</p>,linear range of V-I characteristics of a diode,linear range of V-I characteristics of a triode,non-linear region of V-I dynamic characteristics of a diode,non-linear region of V-I dynamic characteristics of a triode,,C,
<p>Which of the following is a disadvantage of Vestigial Sideband (VSB) system?</p>,Low video frequencies are attenuated,Bandwidth is conserved resulting in a saving of 2 MHz per channel over DSB system,It results in a power boost of two video frequencies,It possess the advantages of both DSB and SSB system,,C,
<p>The maximum permissible distance between two samples of a 2 kHz signal is</p>,1000 μ sec,500 μ sec,250 μ sec,2000 sec,,C," <p><img src=""/_files/images/electronics-and-communication-engineering/communication-systems/554-878-1u.png""/>.</p> "
"<p>When the video signal is applied to the picture tube in a TV receiver, the strength of video signal is about</p>",1000 V,200 V,50 V,1 V,,C,
<p>In the above case if the modulating frequency is increased to 20 kHz the bandwidth will be</p>,0.05 MHz,1 MHz,2 MHz,4 MHz,,C,
<p><p><b>Assertion (A):</b>  In FM all power amplifiers can be operated in class C </p><p><b>Reason (R):</b>  FM is a constant amplitude modulation system.</p></p>,Both A and R are correct and R is correct explanation of A,Both A and R are correct but R is not correct explanation of A,A is correct but R is wrong,A is wrong but R is correct,,A,
<p>In radar system which of the following is called A scope</p>,deflection modulation of CRT,intensity modulation of CRT,computer display,none of the above,,A,
<p>In a CD the channel separation is</p>,1 μm,1.6 μm,2.5μm,4 μm,,B,
<p>The unit for luminous energy is</p>,lumens/sec,lumens/m<sup>2</sup>,lumen-sec,lumen/m,,C,
<p>The IF bandwidth of a radar receiver is inversely proportional to</p>,pulse interval,pulse width,PRF,none of the above,,B,
"<p>If the radiated power of AM transmitter is 10 kW, the power in the carrier for modulation index of 0.6 is nearly.</p>",8.24 kW,8.47 kW,9.26 kW,9.6 kW,,B,
<p>Satellite communication uses frequencies in the range of</p>,3 to 6 GHz,3-10 MHZ,10-50 GHz,100-200 GHz,,A,
"<p>In a channel voice coder, the outputs of sixteen 20 Hz low pass filters are sampled, multiplexed and A/D converted. If sampling is at 40 samples/second and 3 bits/sample represents each voltage sample, the bit rate is about</p>",1.9 k bits/sec,0.95 k bits/sec,3.8 k bits/sec,7.6 k bits/sec,,A,
<p>Super high frequency means more than 3000 MHz.</p>,True,False,,,,A,
<p>Impedance inversion may be obtained with</p>,half wave line,a short circuited stub,complex impedance Z connected in series with line,quarter wave line,,D,
<p>Which of the following can be used to convert PPM into PWM?</p>,Integrator,Astable multivibrator,Bistable multivibrator,Monostable multivibrator,,C,
"<p>For an antenna of height <i>h<sub>t</sub></i> metres, the radio horizon is equal to</p>","4<span class=""root""><i>h<sub>t</sub></i></span> metres","4<span class=""root""><i>h<sub>t</sub></i></span> km","2.5<span class=""root""><i>h<sub>t</sub></i></span> km","2.5<span class=""root""><i>h<sub>t</sub></i></span> metres",,B,
"<p>If in a radio receiver, RF signal has a frequency of 800 kHz and local oscillator that of 1000 kHz, then at the output of the mixer, the frequencies found would be __________ kHz.</p>",800 to 1000,"200, 800, 1000, 1800",only 200,only 1800,,C,
<p>In the stabilized reactance modulator AFC system</p>,phase modulation is converted into amplitude modulation by the equalizer circuit,the discriminator frequency must not be too low or the system will fail,the discriminator must have a fast time constant to prevent demodulation,"the higher discriminator frequency, better the oscillator frequency stability",,B,
"<p>In AM, the modulation envelope has a peak value double the unmodulated carrier level, when the modulation is</p>",25%,33%,50%,100%,,D,
<p>Which of the following is correct (FDM means Frequency Division Multiplexing and TDM means Time Division Multiplexing)?</p>,FDM requires lower bandwidth but TDM has more noise immunity,FDM has more noise immunity and requires lower bandwidth than TDM,FDM requires channel synchronization while TDM has more noise immunity,FDM requires more multiplexing while TDM requires band pass filter,,C,
"<p>Consider the following applications/ advantages of radar beacons <ol style=""list-style-type: decimal; padding-bottom:10px;""><li style=""padding-top:10px;"">navigation</li><li style=""padding-top:10px;"">target identification</li><li style=""padding-top:10px;"">accurate tracking of enemy targets</li><li style=""padding-top:10px;"">large increase in maximum range</li></ol> Which of the above are correct?</p>","1, 2, 3, 4","1, 2, 4","1, 2","2, 3, 4",,B,
<p>The signal plate of vidicon tube is coated with tin oxide.</p>,True,False,,,,A,
<p>The maximum permissible distance between two samples of a 10 kHz signal</p>,100 μ sec,50 μ sec,10 μ sec,none,,B,
"<p>In telephone systems, load is expressed in the unit of</p>",erlangs,decibels,bells,watts,,A,
