question,A,B,C,D,E,answer,explanation
<p>The intermediate frequencies in VCR are</p>,video 38.9 MHz and audio 33.4 MHz,38.9 MHz for both video and audio,33.4 MHz for both video and audio,33.4 MHz for video and 38.9 MHz for audio,,A,
<p><p><b>Assertion (A):</b>  In TV scanning is done from left to right and top to bottom. </p><p><b>Reason (R):</b>  Interlaced scanning is useful in eliminating flicker</p></p>,Both A and R are correct and R is correct explanation of A,Both A and R are correct but R is not correct explanation of A,A is correct but R is wrong,A is wrong but R is correct,,B,
<p>The unit of loudness is</p>,phon,sone,decibel,mel,,C,
<p>To couple a coaxial line to a parallel line wire it is best to use</p>,slotted line,balun,directional coupler,"<img src=""/_files/images/electronics-and-communication-engineering/communication-systems/506-239-1.png""/> transformer",,B,
<p>The total bandwidth needed for an AM signal at 55.25 MHz with 0.5 MHz video modulation is</p>,0.25 MHz,0.5 MHz,1 MHz,10 MHz,,C,
<p>The bandwidth required for amplitude modulation is</p>,half the frequency of modulating signal,equal to the frequency of modulating signal,twice the frequency of modulating signal,four times the frequency of modulating signal,,C,
"<p>In PM, without any modulation, all the transmitted pulses have the same</p>",amplitude,width,amplitude and spacing,"amplitude, spacing and width",,D,
<p>Colour picture tube needs higher anode voltage and needs larger beam and cathode currents than monochrome tube because</p>,it is bigger in size,it has higher level of illumination,the tube has to illuminate three phosphors simultaneously,the tube has lower efficiency because of aperture mask,,D,
<p>In frequency modulation noise can be further reduced by</p>,increasing deviation,reducing deviation,reducing carrier frequency,increasing signal amplitude,,A,
<p>Which one of the following is digital?</p>,Pulse code modulation,Pulse width modulation,Pulse frequency modulation,Pulse position modulation,,A,
<p>Automatic sensitivity control by target voltage control is easily possible in</p>,Vidicon,Plumbicon,New vicon,both (b) and (c),,A,
<p>Pick the odd one out</p>,PPM,PDM,PWM,PLM,,A,
<p>In a colour TV receiver SAW filter consists of</p>,"piezoelectric substrate on which are deposited two inter, digital transducers",photo conductive substrate which are deposited two inter digital transducers,photo voltaic substrate which are deposited two inter digital transducers,photo resistive substrate which are deposited two inter digital transducers,,A,
<p>Diffraction of EM waves</p>,arises only with spherical wave front,may occur around the edge of an obstacle,occurs when waves pass through a big slot,none of the above,,C,
<p>The start of modern computer age was started by the event</p>,development of disc drive,development of transistor,development of Hollerith code,design of EVIAC computer,,B,
<p>At night D layer of ionosphere is absent.</p>,True,False,,,,A,
<p>Which of the following is not correct?</p>,"In SSB amplitude modulated system, the transmitter circuit has to be more stable leading to better reception",In SSB amplitude modulated system more channel space is available as compared to double sideband amplitude modulated system,In SSB amplitude modulated system the signal is more noise resistant as compared to double sideband system,An SSB-AM system requires lesser power (for the same signal strength) as compared to DSB-AM system,,A,
<p><p><b>Assertion (A):</b>  Data communication using digital data must be very accurate.</p><p><b>Reason (R):</b>  In analog signals redundancy is available but in digital signals redundancy is not available.</p></p>,Both A and R are correct and R is correct explanation of A,Both A and R are correct but R is not correct explanation of A,A is correct but R is wrong,A is wrong but R is correct,,A,
"<p>What is the RF amplifier plate voltage when the audio-modulating voltage is +600 V? <br/><img src=""/_files/images/electronics-and-communication-engineering/communication-systems/543-1111-1.png""/></p>",-600 V,Zero,600 V,1200 V,,C,
<p>FM has</p>,two sidebands only,four sidebands only,eight sidebands only,infinite sidebands,,D,
<p>The service area of a TV transmitter is a little beyond radio horizon.</p>,True,False,,,,A,
"<p>If carrier power is P and amplitude modulation index is <i>m</i>, the total power after modulation is</p>",P,<i>m</i>P,P(1 + <i>m</i>),"<img src=""/_files/images/electronics-and-communication-engineering/communication-systems/512-390-1.png""/>",,D,
<p>Bit is a unit of</p>,entropy,information,channel capacity,rate of information,,B,
<p>The modulation index of an AM wave is changed from 0 to 1. The transmitted power is</p>,unchanged,halved,increased by 50%,quadrupled,,C,
<p>In a radio receiver the input from local oscillator is fed to</p>,RF amplifier,mixer,IF amplifier,detector,,B,
<p>A shadow zone does not receive any space wave</p>,True,False,,,,A,
"<p>A radio frequency signal contains the following three frequencies : <br/>850 kHz; 865 kHz and 875 kHz <br/>In order to amplify this signal, which of the following amplifier should be selected?</p>",Push pull amplifier,Wideband amplifier,Audio frequency amplifier,Tuned voltage amplifier,,D,
<p>Which of the following pulse-time modulation is least used?</p>,PDM,PPM,PWM,PAM,,D,
