question,A,B,C,D,E,answer,explanation
<p>The received signal frequency at any time of a super-heterodyne receiver having IF = 456 kHz is 1 MHz. The corresponding image signal is</p>,within the medium band,outside the medium band,depend upon modulation index,depends on Modulating frequency,,A," <p>Image signal frequency = Received signal frequency - 2 x Intermediate frequency.</p>
<p>= 1 MHz - 2 x 456kHz</p>
<p><img src=""/_files/images/electronics-and-communication-engineering/communication-systems/1-sym-imp.gif""/> 1 MHz - 912 kHz <img src=""/_files/images/electronics-and-communication-engineering/communication-systems/1-sym-imp.gif""/> 88 kHz</p>
<p>which lies in medium bond.</p> "
"<p>For an ideal 3000 Hz channel, Nyquist rate is</p>",3000 bps,6000 bps,9000 bps,12000 bps,,B," <p>For 3000 Hz. </p>
<p>Nyquist rate is twice, <i>i</i>.<i>e</i>., 6000 bps.</p> "
<p><p><b>Assertion (A):</b>  Electromagnetic waves in free space spread uniformly in all directions from a point source</p><p><b>Reason (R):</b>  Free space has no interference or obstacles.</p></p>,Both A and R are correct and R is correct explanation of A,Both A and R are correct but R is not correct explanation of A,A is correct but R is wrong,A is wrong but R is correct,,A," <p>Since free space has no interference or obstacles, EM waves spread uniformly.</p> "
"<p>In the FM wave described by equation <i>v</i> = 15 sin (4 x 10<sup>8</sup> <i>t</i> + 3 sin 1100 <i>t</i>), the maximum frequency deviation is</p>",175 Hz,525 Hz,3 Hz,58.33 Hz,,B," <p><img src=""/_files/images/electronics-and-communication-engineering/communication-systems/552-520-1.png""/>. </p>
<p>Maximum frequency deviation = 3 x 175 = 525 Hz.</p> "
<p>The radar cross-section of a target depends an</p>,frequency,polarization of incident wave,aspect of target,all of the above,,D," <p>Effective area of target is called radar cross-section. </p>
<p>It depends on frequency polarization of incident wave and aspect of target.</p> "
"<p>The Nyquist sampling interval, for the signal sin c (700<i>t</i>) + sin c (5000 <i>t</i>) is</p>","<img src=""/_files/images/electronics-and-communication-engineering/communication-systems/534-922-1.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/communication-systems/534-922-2.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/communication-systems/534-922-3.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/communication-systems/534-922-4.png""/>",,C," <p><i>g</i>(<i>t</i>) = sin <i>c</i> (700 <i>t</i>) + sin <i>c</i> (500 <i>t</i>)</p>
<p><img src=""/_files/images/electronics-and-communication-engineering/communication-systems/554-922-1.png""/> [sin (<span class=""symbol"">p</span> 700 <i>t</i>) + sin (<span class=""symbol"">p</span> 500 <i>t</i>)]</p>
<p><i>f<sub>m</sub></i> = 350 Hz</p>
<p><i>f<sub>s</sub></i> = 700 Hz, Nyquist rate = <img src=""/_files/images/electronics-and-communication-engineering/communication-systems/554-922-2.png""/>.</p> "
<p>A directional microphone gives an output of 0.5 mV whereas an omnidirectional one gives an output of 0.5 μV in the same position for the same sound pressure. The directivity of the directional microphone is</p>,120 dB,90 dB,60 dB,30 dB,,C," <p>Directivity = <img src=""/_files/images/electronics-and-communication-engineering/communication-systems/548-28-1.png""/></p>
<p>= 60 dB.</p> "
"<p>If E<sub><i>b</i></sub>, the energy per bit of a binary digital signal is 10<sup>-6</sup> watt sec. and the one sided power spectral density of the white noise N<sub>0</sub> = 10<sup>-5</sup> W/Hz, then the output SNR of the matched filter is</p>",26 dB,10 dB,20 dB,13 dB,,D, <p>O/P SNR = 10 log<sub>10</sub> [2 x 10<sup>-6</sup> x 10<sup>-5</sup>].</p> 
"<p>Consider the following statements about Rhombic antenna <ol style=""list-style-type: decimal; padding-bottom:10px;""><li style=""padding-top:10px;"">It is non resonant</li><li style=""padding-top:10px;"">It is a broad band antenna</li><li style=""padding-top:10px;"">It is ideally suited for HF transmission</li></ol> Which of the above are correct?</p>","1, 2, 3","1, 3 only","2, 3 only",1 only,,A, <p>All the three features are correct.</p> 
<p><p><b>Assertion (A):</b>  A composite video signal has synchronising pulses.</p><p><b>Reason (R):</b>  It is necessary to synchronise the scanning process in the transmitter and receiver.</p></p>,Both A and R are correct and R is correct explanation of A,Both A and R are correct but R is not correct explanation of A,A is correct but R is wrong,A is wrong but R is correct,,A," <p>Synchronisation of scanning process at transmitter and receiver is necessary for proper reproduction at TV receiver. </p>
<p>For this purpose synchronising pulses are sent as a part of video signal.</p> "
<p>Noise with uniform power spectral density of N<sub>0</sub>ω/H<sub><i>z</i></sub> is passed through a filter H(ω) = 2 exp (-J ω <i>t<sub>y</sub></i>) followed by an ideal low pass filter of bandwidth B Hz. The output noise power in watts is</p>,2 N<sub>0</sub>B,4 N<sub>0</sub>B,8 N<sub>0</sub>B,16 N<sub>0</sub>B,,B," <p>Output spectral power density</p>
<p>= | H(ω) | x I/P spectral power density </p>
<p>= 2 x 2N<sub>0</sub> <img src=""/_files/images/electronics-and-communication-engineering/communication-systems/1-sym-imp.gif""/> 4N<sub>0</sub> </p>
<p><img src=""/_files/images/electronics-and-communication-engineering/communication-systems/1-sym-imp.gif""/> Output power = 4 N<sub>0</sub>B.</p> "
"<p><p><b>Assertion (A):</b>  In standing wave pattern, the nodes and anti nodes are separated by half wave-length</p><p><b>Reason (R):</b>  When line is terminated in resistance R<sub>L</sub>, the standing wave ratio is SWR = Z<sub>0</sub>/R<sub>L</sub> or R<sub>L</sub>/Z<sub>0</sub> </p></p>",Both A and R are correct and R is correct explanation of A,Both A and R are correct but R is not correct explanation of A,A is correct but R is wrong,A is wrong but R is correct,,B," <p><img src=""/_files/images/electronics-and-communication-engineering/communication-systems/557-1179-1.png""/>.</p> "
"<p>An amplifier has an input resistance of 10 kΩ and the noise voltage is 10 μV. If two such resistances of 10 kΩ each are connected in series at the input, the total noise voltage is about</p>",20 μV,5μV,14.14 μV,10 μV,,C," <p>Noise voltage = 10<img src=""/_files/images/electronics-and-communication-engineering/communication-systems/551-381-1.png""/> = 14.14 μV.</p> "
<p>A 400 W carrier is modulated to a depth of 75 percent. The total power in modulated wave will be</p>,38.5 W,400 W,512.5 W,615.5 W,,C," <p>P<sub><i>c</i></sub> = 400 W, <i>m</i> = 0.75</p>
<p><img src=""/_files/images/electronics-and-communication-engineering/communication-systems/553-690-1.png""/></p> "
<p>In a colour TV receiver the bandwidth of RF amplifier is</p>,exactly equal to channel width,a little less than channel width,a little more than channel width,either (a) or (b),,C, <p>It is kept a little more than channel width so that reception is not restricted.</p> 
"<p>An FM signal with a deviation is passes through the mixer, and has its frequency reduced five fold. The deviation in the output of the mixer is</p>",Δ,5Δ,Δ/5,indeterminant,,A," <p><img src=""/_files/images/electronics-and-communication-engineering/communication-systems/554-740-1.png""/> Δ<i>f</i> (frequency deviation) is independent of <i>f<sub>m</sub></i> , Δ<i>f</i> depends only upon amplitude of message signal.</p>
<p>Δ<i>f</i> = <i>k<sub>f</sub></i>.<i>A<sub>m</sub></i> .</p> "
<p>FSK is a system involving</p>,pulse modulation,frequency modulation,amplitude modulation,phase modulation,,B," <p>FSK, <i>i</i>.<i>e</i>., frequency shift keying is a system of frequency modulation.</p> "
<p>A 200 Hz sound wave is to be transmitted by a 1000 kHz radio wave using frequency modulation. The instantaneous frequency variation will be</p>,100 times a second,200 times a second,400 times a second,1000 times a second,,B, <p>The instantaneous frequency variation is equal to frequency of audio signal.</p> 
"<p>In a TV studios, flying spot scanner is a device for</p>",mixing video and audio signals,telecasting feature films,live telecast of outdoor programs,telecast of indoor music programs,,B, <p>It is used to telecast feature films. Flying spot scanner uses a special low persistence high brightness cathode ray tube.</p> 
<p>A broadcast radio transmitter radiates 5 kW when the modulation percentage is 60. How much of this is carrier power?</p>,6.66 kW,5 kW,4.9 kW,4.23 kW,,D," <p>m = 1, </p>
<p><img src=""/_files/images/electronics-and-communication-engineering/communication-systems/557-1141-1.png""/></p> "
"<p>A device has two resistances 300 Ω and 200 Ω respectively. The noise voltages due to these two resistance calculated separately are 5.38 μV and 4.38 μV respectively. When both of them are used together, the noise voltage will be</p>",9.76 V,1 μV,23.56 μV,6.94 μV,,D," <p><img src=""/_files/images/electronics-and-communication-engineering/communication-systems/552-499-1.png""/>.</p> "
<p>The antenna diameter of a radar system is doubled. The maximum range will</p>,be doubled,become four times,be halved,decrease to one fourth,,A, <p>Range is proportional to antenna diameter.</p> 
<p>Which of the following microphones works on the piezoelectric effect?</p>,Carbon,Condenser,Moving coil,Crystal,,D, <p>As per piezoelectric effect application of pressure across the faces of a crystal produces an emf across the faces.</p> 
<p>In PAL system weighting of R - Y and B - Y signals is done to</p>,prevent over modulation on saturated colours,prevent under modulation of saturated colours,allow over modulation of saturated colours,allow under modulation on saturated colours,,A, <p>Weighting reduces the chances of over-modulation of the transmitter carrier in the presence of highly saturated colours when picture has very light or very dark parts.</p> 
<p>In case of probability of the message is 1 to 16 then the information will be</p>,16 bits,8 bits,4 bits,2 bits,,C," <p><img src=""/_files/images/electronics-and-communication-engineering/communication-systems/557-1101-1u.png""/>.</p> "
<p>The saving of power in DSB-SC modulated at 80% is</p>,NIL,80%,75.76%,50%,,C," <p><img src=""/_files/images/electronics-and-communication-engineering/communication-systems/550-222-1.png""/></p>
<p><img src=""/_files/images/electronics-and-communication-engineering/communication-systems/550-222-2.png""/>.</p> "
