question,A,B,C,D,E,answer,explanation
<p>Which of the following antennas is circularly polarized?</p>,Yagi-Uda,Parabolic reflector,Small circular loop,Helical,,D," <p>The helical antenna is circularly polarized, <i>i</i>.<i>e</i>., its polarization is evenly divided between vertical and horizontal components.</p> "
<p>In colour TV system the colour sub carrier frequency is 4.43 MHz.</p>,True,False,,,,B, <p>Video monitor does not have RF tuner and IF amplifier stages.</p> 
<p>A transmitter power of 5 W is increased by 20 dB. The effective radiated power is</p>,5 W,100 W,25 W,500 W,,D," <p><img src=""/_files/images/electronics-and-communication-engineering/communication-systems/551-340-1.png""/> or P = 500 W.</p> "
<p>The percentage saving in power of 100% modulated suppressed carrier AM signal is</p>,100,75,66.6,50,,C," <p><i>m</i> = 1, </p>
<p><img src=""/_files/images/electronics-and-communication-engineering/communication-systems/553-691-1.png""/> if carrier is suppressed then</p>
<p><img src=""/_files/images/electronics-and-communication-engineering/communication-systems/553-691-2.png""/> .</p> "
<p>The maximum distance between television transmission and receiving antennas for reasonably good reception should be</p>,less than 20 km,less than 100 km,less than 500 km,less than 1000 km,,B, <p>Television transmission is governed by line of sight distance which is about 100 km or less.</p> 
<p><p><b>Assertion (A):</b>  EM waves are attenuated as they travel outward from a source</p><p><b>Reason (R):</b>  Both field intensity and power density follow inverse square law. </p></p>,Both A and R are correct and R is correct explanation of A,Both A and R are correct but R is not correct explanation of A,A is correct but R is wrong,A is wrong but R is correct,,A," <p>As per inverse square law, power is inversely proportional to square of distance.</p> "
<p>The frequency response of a microphone means</p>,bandwidth of frequencies having output with in ± 1 dB of the output at 1000 Hz,bandwidth of frequencies having output with in ± 3 dB of the output at 1000 Hz,bandwidth of frequencies having output with in ± 1 dB of the output at 500 Hz,bandwidth of frequencies having output with in ± 3 dB of the output at 500 Hz,,A, <p>100 Hz is taken as standard for specifying the output.</p> 
<p>Graphic equaliser system in stereophonic systems generally have</p>,3 or 4 bands,1 band,more than 8 bands,large number of bands,,A," <p>Stereo systems have 3 or 4 bands at 300 Hz, 1000 Hz, 10000 Hz etc. in graphic equaliser system.</p> "
"<p>An amplifier operating over a frequency range of 18 to 20 MHz has 10 kΩ input resistance. At a temperature of 27° C, the noise voltage at input of amplifier is (Boltzman constant <i>k</i> = 1.38 x 10<sup>-23</sup> J/K)</p>",18.2 μV,182 μV,16.2 μV,162 μV,,A, <p>Using Equation V<sub><i>a</i></sub> = (4 x 1.38 x 10<sup>-23</sup> x 300 x 2 x 10<sup>6</sup> x 10<sup>4</sup>)<sup>0.5</sup> = 18.2 x 10<sup>-6</sup> V.</p> 
"<p>Some sources of TV programs are <ol style=""list-style-type: decimal; padding-bottom:10px;""><li style=""padding-top:10px;"">TV camera</li><li style=""padding-top:10px;"">Telecine</li><li style=""padding-top:10px;"">VTR</li><li style=""padding-top:10px;"">External signal</li></ol> Which of the above are actually present in a TV studio?</p>","1, 2, 3 and 4","1, 2, 3",1 and 3,1 2 and 4,,A, <p>All these are present.</p> 
<p>Two sinusoidal signals of same amplitude and frequencies 10 kHz and 10.1 kHz are added together. The combined signal is given to an ideal frequency detector. The output of the detector is</p>,0.1 kHz sinusoidal,10.1 kHz sinusoidal,a linear function,a constant,,B," <p>Y(<i>t</i>) = A cos (2<span class=""symbol"">p</span> x 10<sup>4</sup> <i>t</i>) + A cos (2<span class=""symbol"">p</span> x 10.1 x 10<sup>3</sup> <i>t</i>)</p>
<p>when passed through high pass filter, </p>
<p>Output will be A cos (2<span class=""symbol"">p</span> x 10.1 x 10<sup>3</sup> <i>t</i>) only.</p> "
"<p>In Vidicon camera tube, the resistance of photoconductive material on the target plate</p>",is constant,is more in darkness and less in brightness,is more in brightness but less in darkness and brightness,may be more or less in darkness and brightness,,B, <p>Light dependent resistor (LDR) has high resistance in darkness and low resistance in brightness.</p> 
"<p>In a satellite transponder the power amplifier feeds power <i>P</i> to the transmitting antenna of gain G. If distance of earth is <i>d</i>, the power flux density is</p>",PG/<i>d</i>,"PG/4<span class=""symbol"">p</span><i>d</i><sup>2</sup>","P/G(4<span class=""symbol"">p</span><i>d</i><sup>2</sup>)","<img src=""/_files/images/electronics-and-communication-engineering/communication-systems/511-360-1.png""/>",,B, <p>Available power is PG and is spread over 4 <i>nd</i><sup>2</sup>.</p> 
<p>The percentage saving in power of 100% modulated suppressed carrier AM signal is</p>,100,75,66.6,50,,C," <p>P<sub><i>c</i></sub> = 400 W, <i>m</i> = 0.75</p>
<p><img src=""/_files/images/electronics-and-communication-engineering/communication-systems/553-690-1.png""/></p> "
"<p>Which of the following are useful in comparing the noise performance of receivers? <ol style=""list-style-type: decimal; padding-bottom:10px;""><li style=""padding-top:10px;"">Input noise voltage</li><li style=""padding-top:10px;"">Noise figure</li><li style=""padding-top:10px;"">Noise resistance</li><li style=""padding-top:10px;"">Noise temperature</li></ol> Select answer as per the following codes:</p>","1, 2 and 3","1, 3 and 4","2, 3, 4","1, 2, 4",,C," <p>Noise figure, noise resistance and noise temperature are useful quantities. Input noise voltage alone is not sufficient unless gain of amplifier stages is also known.</p> "
<p>Compact discs use</p>,magnetic recording and retrieval,optical recording and retrieval,optical recording but magnetic retrieval,magnetic recording but optical retrieval,,B, <p>CD uses optical recording and retrieval.</p> 
"<p>A carrier is phase modulated (PM) with frequency deviation of 10 kHz by a single tone frequency of 1 kHz. If the single tone frequency is increased to 2 kHz, assuming that phase deviation remains unchanged, the bandwidth of the PM signal is</p>",21 kHz,22 kHz,42 kHz,44 kHz,,D," <p>Frequency deviation = 10 kHz, <i>f<sub>m</sub></i> = 1 kHz</p>
<p><img src=""/_files/images/electronics-and-communication-engineering/communication-systems/1-sym-imp.gif""/> 2(<i>f<sub>m</sub></i> + D<i>f</i>)</p>
<p>Bandwidth = 22 kHz </p>
<p><img src=""/_files/images/electronics-and-communication-engineering/communication-systems/1-sym-imp.gif""/> 2(10 + 1) <img src=""/_files/images/electronics-and-communication-engineering/communication-systems/1-sym-imp.gif""/> 22 kHz </p>
<p><i>f<sub>m</sub></i> is doubled </p>
<p>Hence 22 x 2 <img src=""/_files/images/electronics-and-communication-engineering/communication-systems/1-sym-imp.gif""/> 44 kHz bandwidth.</p> "
"<p>In a communication receiver, a squelch circuit is normally inserted</p>",before detector,after detector,before mixer,after power amplifier,,B," <p>Squelch, <i>i</i>.<i>e</i>., muting is added after detector to suppress noise when no carrier is present at input.</p> "
"<p>In PCM, the information lies</p>",in one or two properties of the pulse,in absence of pulse,in presence of pulse,in presence or absence of pulse,,D, <p>Depending on which logic is used.</p> 
<p>A carrier is simultaneously modulated by two sine waves having modulation indices of 0.4 and 0.3. The total modulation index will be</p>,0.1,0.7,0.5,0.35,,C," <p><i>m</i><sub>1</sub>= 0.4, <i>m</i><sub>2</sub> = 0.3 . </p>
<p><img src=""/_files/images/electronics-and-communication-engineering/communication-systems/553-687-1.png""/>.</p> "
<p>A 1000 kHz carrier is simultaneously modulated by 300 Hz and 2 kHz audio sine wave. Which of the following frequencies will not be present in the output?</p>,998 kHz,999.7 kHz,1000.3 kHz,700 kHz,,D, <p>1000 ± 0.3 and 1000 ± 2 kHz will be present.</p> 
"<p>SWR for a transmission line is infinity when the load is <ol style=""list-style-type: decimal; padding-bottom:10px;""><li style=""padding-top:10px;"">Short circuit</li><li style=""padding-top:10px;"">Complex impedance</li><li style=""padding-top:10px;"">Open circuit</li><li style=""padding-top:10px;"">Pure reactance</li></ol> Of the above statements:</p>","1, 3, 4 are correct",1 and 3 are correct,"2, 3, 4 are correct","1, 2, 4 are correct",,A," <p>SWR is infinite if |<span class=""symbol"">r</span><sub><i>v</i></sub>| = 1.</p> "
<p>The discone antenna is</p>,used in UHF range,circularly polarized,used in radar,used as a direction finding antenna,,A, <p>Discone antenna is a combination of disc and cone. It is omnidirectional and is used in VHF and UHF range especially at airports.</p> 
<p>The direction of pick up in a CD is</p>,linear from centre towards edge,linear from edge to centre,nonlinear from centre to edge,nonlinear from edge to center,,A, <p>It is linear from centre to edge.</p> 
<p>A (75 - <i>j</i> 50) Ω load is connected to a coaxial line of Z<sub>0</sub> = 75 Ω at 10 GHz. The best method of matching consists of using</p>,a capacitance at some specific distance from load,a short circuited stub at some specific distance from load,an inductance at load,a short circuited stub at load,,D, <p>A short-circuited stub placed at a suitable distance from load provides best matching.</p> 
<p>In PCM the amplitude levels are transmitted in a 7 unit code. Sampling frequency is 10 kHz. The bandwidth should be</p>,5 kHz,35 kHz,70 kHz,5 MHz,,B," <p>Bandwidth = <img src=""/_files/images/electronics-and-communication-engineering/communication-systems/56-3.94-2.png""/> (10 x 7) = 35 kHz.</p> "
<p>In colour television V and U signals are</p>,same as I and Q signal,same as R - Y and B - Y,modified I and Q signal,modified R - Y and B - Y,,D, <p>U = 0.493 (B - Y) and V = 0.877 (R - Y).</p> 
<p>Which of the following has highest power gain?</p>,CE,CC,CB,CB or CC,,A, <p>CE connection has good current and voltage gain. Therefore power gain is very high.</p> 
"<p>Two messages <i>m</i><sub>1</sub>, and <i>m</i><sub>2</sub> have a probability of 0.5 each. The entropy is</p>",0.25,0.5,0.75,1,,D, <p>Entropy = 0.5 log<sub>2</sub> 2 + 0.5 log<sub>2</sub> 2 = 1.</p> 
<p>A TV receiver is 40 cm wide and 30 cm high. The EHT supply required is about</p>,2kV,20 kV,53 kV,10 W,,B," <p><img src=""/_files/images/electronics-and-communication-engineering/communication-systems/551-341-1.png""/> and EHT supply is 1 kV per diagonal inch.</p> "
"<p>An AM signal is detected using an envelope detector, the carrier frequency and modulating signal frequency are 1 MHz and 2 kHz respectively. An appropriate value for the time constant of the envelope detector is</p>",500 μ sec,20 μ sec,0.2 μ sec,1 μ sec,,B," <p>In envelope detector, for proper detection</p>
<p><img src=""/_files/images/electronics-and-communication-engineering/communication-systems/556-952-1.png""/></p>
<p><img src=""/_files/images/electronics-and-communication-engineering/communication-systems/1-sym-imp.gif""/> 10<sup>-6</sup> ≤ RC ≤ 250 μ sec.</p>
<p>Only 20 m sec satisfies the condition.</p> "
"<p>For signal amplitude modulated to a depth of 100% by a sinusoidal signal, power is</p>",same as that of unmodulated carrier,twice the power of unmodulated carrier,"<img src=""/_files/images/electronics-and-communication-engineering/communication-systems/128-6.72-1.png""/>times the power of unmodulated carrier","<img src=""/_files/images/electronics-and-communication-engineering/communication-systems/128-6.72-3.png""/>times the power of unmodulated carrier",,C, <p>When <i>m</i> = <i>p<sub>t</sub></i> = 1.5 P<sub><i>c</i></sub></p> 
"<p>If transmitted power is 10 kW, the field strength at a distance <i>d</i> is 50 mV/m. If transmitted power is reduced to 2.5 kW, the field strength at the same point will be</p>",25 mV/m,12.5 mV/m,6.25 mV/m,3.125 mV/m,,A," <p>E ∝ <span class=""root"">P<sub><i>t</i></sub></span> .</p> "
"<p>Some features of advanced mobile phone service are <ol style=""list-style-type: decimal; padding-bottom:10px;""><li style=""padding-top:10px;"">To provide telephone communication to a large number of telephone users within the area of a metropolitan only</li><li style=""padding-top:10px;"">To use minimum amount of frequency spectrum</li><li style=""padding-top:10px;"">To permit hand held as well as vehicle operation of telephone</li></ol> Which of the above are true?</p>",1 and 2 only,"1, 2, 3",1 and 3 only,2 and 3 only,,B, <p>All the three features are necessary.</p> 
<p>The carrier frequency will be if L = 50 µH and C = 1 nF.</p>,512,612 kHz,712 kHz,812 kHz,,C," <p>L = 50 µH, C = 1 nF</p>
<p><img src=""/_files/images/electronics-and-communication-engineering/communication-systems/553-688-1.png""/>.</p> "
<p>Three point tracking is achieved with</p>,double conversion,padder capacitor,double spotting,variable selectivity,,B, <p>To obtain three point tracking a capacitor is connected in series with local oscillator coil. This capacitor is called padder capacitor.</p> 
"<p>In TV transmitter, visual exciter may consist of <ol style=""list-style-type: decimal; padding-bottom:10px;""><li style=""padding-top:10px;"">Video processing unit</li><li style=""padding-top:10px;"">Visual modulator</li><li style=""padding-top:10px;"">VSB filter</li><li style=""padding-top:10px;"">Delay equaliser</li><li style=""padding-top:10px;"">Frequency converter</li></ol> Which of the above are actually a part of visual exciter?</p>","1, 2 and 3","2, 3 and 4","1, 2, 3 and 4","1, 2, 3, 4 and 5",,D, <p>All these are part of visual exciter.</p> 
"<p>The positive peak of an AM wave is 16 V and the minimum value is 4 V Assuming single tone modulation, the modulation index is</p>",0.6,0.25,4,0.36,,A," <p>Average value = 10 V and <img src=""/_files/images/electronics-and-communication-engineering/communication-systems/548-22-1.png""/> .</p> "
<p>In a circuit the value of resistor is made four times. The noise voltage generated by this resistance will</p>,be doubled,be increased four times,remain the same,become half,,A," <p>Noise voltage ∝ <span class=""root""><i>R</i></span>.</p> "
<p>A resistor of 10 kΩ has an rms noise voltage of 1 mV under a certain set of conditions. A resistor of 20 kΩ under the same conditions will have an rms noise voltage of</p>,1 mV,2 mV,1.414 mV,4 mV,,C," <p><i>i</i> ∝ <span class=""root""><i>R</i></span>.</p> "
