question,A,B,C,D,E,answer,explanation
<p>Computer communication networks have</p>,star configuration,tree configuration,loop/mesh configuration,All of the above,,D, <p>All the three configurations are used.</p> 
<p><p><b>Assertion (A):</b>  A balun is an RF impedance matching transformer. </p><p><b>Reason (R):</b>  Sometimes a booster amplifier is used with a TV set.</p></p>,Both A and R are correct and R is correct explanation of A,Both A and R are correct but R is not correct explanation of A,A is correct but R is wrong,A is wrong but R is correct,,B," <p>Balun gives a 4 : 1 impedance transformation. In areas where TV reception is poor, booster is used to strengthen a TV signal.</p> "
"<p>In an FM system, when the AF is 500 Hz and the AF voltage is 2.4 V, the deviation is 4.8 kHz. If the AF voltage is now increased to 7.2 V, the new deviation will be</p>",4.8 kHz,9.6 kHz,14.4 kHz,28.8 kHz,,C," <p><img src=""/_files/images/electronics-and-communication-engineering/communication-systems/554-794-1.png""/></p>
<p>Δ<i>f</i>' = 2 x 7.2 <img src=""/_files/images/electronics-and-communication-engineering/communication-systems/1-sym-imp.gif""/> 14.4 kHz </p>
<p>New frequency donation will be 14.4 kHz.</p> "
<p>Modulation is also called detection.</p>,True,False,,,,B, <p>Demodulation is called detection.</p> 
<p>The maximum range of a transmitter depends on</p>,its frequency,its power,both its frequency and power,none of the above,,C, <p>Both power and frequency determine the maximum range.</p> 
"<p>Consider the following statements about Yagi Uda antenna <ol style=""list-style-type: decimal; padding-bottom:10px;""><li style=""padding-top:10px;"">It is unidirectional</li><li style=""padding-top:10px;"">Its gain is about 7 dB</li><li style=""padding-top:10px;"">It is used at VLF</li><li style=""padding-top:10px;"">The optimum separation is 0.11</li></ol> Which of the above are correct?</p>",1 and 2 only,"1, 2, 4 only","1, 2, 3, 4",1 and 4 only,,B, <p>This antenna is for UHF and VHF bands.</p> 
"<p>In a two stage cascade amplifier, each stage has a gain of 10 dB and noise figure of 10 dB. The overall noise factor is</p>",10,1.09,1,10.9,,D," <p><img src=""/_files/images/electronics-and-communication-engineering/communication-systems/550-228-1u.png""/> .</p> "
<p>Fields are said to be circularly polarised if their magnitudes are</p>,equal and they are in phase,equal but they differ in phase by ± 90°,unequal and differ in phase by ± 90°,unequal but are in phase,,B, <p>Magnitudes should be equal and phase angle ± 90°.</p> 
"<p>Three analog signals, having bandwidths 1200 Hz, 600 Hz, 600 Hz are sampled at their Nyquist rates, encoded with 12 bit words, and time division multiplexed. The bit rate for the multiplexed signal is</p>",115.2 kbps,28.8 kbps,57.6 kbps,38.4 kbps,,C," <p>The total message bandwidth = 1200 Hz + 600 Hz + 600 Hz = 2400 Hz </p>
<p>Sampling frequency = 4800 samples/sec. </p>
<p>Hence, Bit rate = 4800 x 12 </p>
<p><img src=""/_files/images/electronics-and-communication-engineering/communication-systems/1-sym-imp.gif""/> 57.6 kbps.</p> "
<p>In a CD player the speed of CD is</p>,constant at 500 rpm,constant at 200 rpm,varies from 200 to 500 rpm,none of the above,,C," <p>Since the circumference of outer tracks is more than that of tracks near the centre, the speed of disc is varied from 200 rpm to 500 rpm.</p> "
"<p>In the output of a DM speech encoder, the consecutive pulses are of opposite polarity during time interval <i>t</i><sub>1</sub> &lt; <i>t</i> &lt; <i>t</i><sub>2</sub>. This indicates that during this interval</p>",the input to the modulator is essentially constant,the modulator is going through slope overload,the accumulator is in saturation,the speech signal is being sampled at the Nyquist rate,,A," <p>In delta modulator, when consecutive pulses of polarity are opposite then signal is constant.</p> "
"<p>A fascimile reproduction has a specification of 200 lines per frame, progressive scanning and 5 frames per second. The time to scan one line is</p>",5 ms,2.5 ms,1 ms,0.1 ms,,C," <p><img src=""/_files/images/electronics-and-communication-engineering/communication-systems/551-332-1.png""/>.</p> "
"<p>Consider the following features of monochrome TV <ol style=""list-style-type: decimal; padding-bottom:10px;""><li style=""padding-top:10px;"">Number of lines per picture 625</li><li style=""padding-top:10px;"">Interlace ratio 2 : 1</li><li style=""padding-top:10px;"">Aspect ratio 4 : 3</li><li style=""padding-top:10px;"">Channel bandwidth 8 MHz</li></ol> As regards CCIR system B, which of the above are correct?</p>","1, 2, 3, 4","1, 2, 3","1, 2, 4","2, 3, 4",,B, <p>Channel bandwidth is not 8 MHz.</p> 
"<p>In the absence of noise, if C is channel capacity in bits/s, δ<i>f</i> is channel bandwidth in Hz and N is number of coding levels. Then</p>",C = log<sub>2</sub> N,C = (δ<i>f</i>) log<sub>2</sub> N,C = 2 (δ<i>f</i>) log<sub>2</sub> N,C = 0.5 (δ<i>f</i>) log<sub>2</sub> N,,C, <p>Hartley law C = 2 δ<i>f</i> log<sub>2</sub>N.</p> 
"<p>The open loop gain of an amplifier is 50 but is likely to change by 20%. If negative feedback with β = 0.1 is used, the change in gain will be about</p>",20%,10%,4%,0.05%,,C," <p><img src=""/_files/images/electronics-and-communication-engineering/communication-systems/549-76-1.png""/>. </p>
<p>Change in gain is about 4%.</p> "
<p>Audio amplifiers need</p>,Bass control,Treble control,Both Bass and Treble control,Either Bass or Treble control,,C, <p>Bass means low frequency tones and treble means high frequency tones.</p> 
"<p>The open loop gain of an amplifier is 200. If negative feedback with β = 0.2 is used, the closed loop gain will be</p>",200,40,4.878,1.212,,C," <p><img src=""/_files/images/electronics-and-communication-engineering/communication-systems/549-77-1.png""/>.</p> "
"<p>In a TV, studio the function of vision switcher is to</p>",edit television programs,relay television programs,control zoom lens,mix audio and video signals,,A, <p>Viscon switcher has a provision to select any one or more of a large number of inputs and switching then on to outgoing circuits.</p> 
"<p>In the equation <img src=""/_files/images/electronics-and-communication-engineering/communication-systems/515-448-1.png""/> of M-ary PSK signal (where E<sub><i>y</i></sub> is symbol energy), M becomes large. Then <i>d</i> will approach</p>",2,infinity,zero,1,,C," <p>When M is large, sine term will tend to zero.</p> "
"<p>The trapezoidal pattern of figure is obtained when examining an AM wave by an oscilloscope. Modulation factor of the wave is <br/><img src=""/_files/images/electronics-and-communication-engineering/communication-systems/531-822-1.png""/></p>",0.33,0.5,2,1,,B," <p><img src=""/_files/images/electronics-and-communication-engineering/communication-systems/554-822-1.png""/>.</p> "
<p>Y signal has maximum percentage of</p>,red colour,blue colour,green colour,red and blue colours,,C, <p>Y = 0.3 R + 0.59 G + 0.11 B.</p> 
<p>To ensure good transient response in audio systems the natural frequencies should be</p>,above 40 Hz and below 15 kHz,above 40 Hz,above 15 kHz,below 40 Hz and above 15 kHz,,C, <p>The useful audio range is 40 Hz to 15 kHz. Therefore natural frequency should be outside this range.</p> 
"<p>If <i>k</i> is dielectric constant of a medium, the velocity factor in that medium is</p>","<span class=""root"">3</span>","<img src=""/_files/images/electronics-and-communication-engineering/communication-systems/520-553-1.png""/>",(<i>k</i>)<sup>1/3</sup>,"<img src=""/_files/images/electronics-and-communication-engineering/communication-systems/520-553-2.png""/>",,B," <p><img src=""/_files/images/electronics-and-communication-engineering/communication-systems/552-553-1.png""/></p>
<p><img src=""/_files/images/electronics-and-communication-engineering/communication-systems/552-553-2.png""/>.</p> "
"<p>An AM signal and a narrowband FM signal with identical carriers, modulating signals and modulation index of 0.1 are added together. The resultant signal can be closely approximated by</p>",Broadband FM,SSB with carrier,DSB-SC,SSB without carrier,,B," <p><i>s</i>(<i>t</i>)<sub>AM</sub> + <i>s</i>(<i>t</i>)<sub>NBFM</sub> = A<sub>1 </sub>sin ω<i><sub>c</sub>t</i> + A<sub>2</sub> cos ω<i><sub>c</sub>t</i> + (A - B) m</p>
<p><i>m</i>(<i>t</i>) sin ω<i><sub>c</sub>t</i></p>
<p>it will not be NBFM because μ = 0.1, and SSB with carrier.</p> "
"<p>The equation <i>v</i>(<i>t</i>) = A cos [ω<i><sub>c</sub>t</i> + φ(<i>t</i>)] where A and ω<sub><i>c</i></sub> are constant and φ(<i>t</i>) is a function of base signal represents <ol style=""list-style-type: decimal; padding-bottom:10px;""><li style=""padding-top:10px;"">Phase modulation</li><li style=""padding-top:10px;"">Amplitude modulation</li><li style=""padding-top:10px;"">Angle modulation</li><li style=""padding-top:10px;"">Frequency modulation</li></ol> Which of the above are true?</p>",3 only,"1, 3 and 4","1, 2, 3, 4",3 and 4 only,,B," <p>This equation can represent frequency, angle and phase modulation.</p> "
<p>An FM signal with deviation δ is passed through mixer. Its frequency is reduced five fold. The deviation in output of mixer is</p>,0.28,δ,5 δ,very very high,,B, <p>Deviation is not affected by mixer.</p> 
<p>The total number of channels allotted for cellular telephone is</p>,666,333,221,111,,A, <p>Cellular telephones have been assigned 666 channels (826 to 845 MHz and 870 to 890 MHz). Each channel has width of 30 kHz.</p> 
"<p>The F.T. of {<i>e</i><sup>-1</sup> ∪(<i>t</i>)} is equal to <img src=""/_files/images/electronics-and-communication-engineering/communication-systems/534-927-1.png""/> . Therefore <br/><img src=""/_files/images/electronics-and-communication-engineering/communication-systems/534-927-2.png""/> is</p>",<i>e<sup>f</sup></i> ∪ (<i>f</i>),<i>e<sup>-f</sup></i> ∪ (<i>f</i>),<i>e<sup>f</sup></i> ∪ (-<i>f</i>),<i>e<sup>-f</sup></i> ∪ (-<i>f</i>),,C," <p>Apply duality property.</p>
<p><i>j</i> F[<i>g</i>(<i>t</i>)] <img src=""/_files/images/electronics-and-communication-engineering/communication-systems/555-927-1.png""/> G(<i>f</i>) </p>
<p>F[G(<i>t</i>)] <img src=""/_files/images/electronics-and-communication-engineering/communication-systems/555-927-1.png""/> G(-<i>f</i>).</p> "
<p>Sound waves are electromagnetic waves.</p>,True,False,,,,B, <p>Sound waves are not electromagnetic in nature.</p> 
"<p>In major diatonic musical scale, an octave is divided into</p>",12 intervals,10 intervals,7 intervals,5 intervals,,C, <p>A major diatomic scale has 7 intervals between one octave.</p> 
<p>The bandwidth of DSB suppressed carrier modulation system when the modulating frequency varies between 500 Hz and 5 kHz is</p>,555 kHz,505 kHz,500 kHz,9 kHz,,D," <p><i>f<sub>m</sub></i> = 5 kHz - 500 Hz <img src=""/_files/images/electronics-and-communication-engineering/communication-systems/1-sym-imp.gif""/> 4.5 kHz</p>
<p>Bandwidth = 2 <i>f<sub>m</sub></i> <img src=""/_files/images/electronics-and-communication-engineering/communication-systems/1-sym-imp.gif""/> 2 x 4.5 kHz = 9 kHz.</p> "
<p>The filter circuit for feeding a wooffer has</p>,an inductance in series and capacitance in parallel,a capacitance in series and an inductance in parallel,a resistance in series and an inductance in parallel,an inductance in series and a resistance in parallel,,A, <p>Series inductance and shunt capacitance is a low pass circuit.</p> 
<p>The Hilbert transform of cos ω<sub>1</sub><i>t</i> + sin ω<sub>2</sub><i>t</i> is</p>,sin ω<sub>1</sub><i>t</i> + cos ω<sub>2</sub><i>t</i>,sin ω<sub>1</sub><i>t</i> - cos ω<sub>2</sub><i>t</i>,cos ω<sub>1</sub><i>t</i> - cos ω<sub>2</sub><i>t</i>,- sin ω<sub>1</sub><i>t</i> + cos ω<sub>2</sub><i>t</i>,,B, <p>J[<i>s</i>(<i>t</i>)] = <i>s</i>(<i>t</i> + 90°).</p> 
<p>In ionosphere incidence angle is 60°. The maximum usable frequency <i>f<sub>m</sub></i> is equal to</p>,2<i>f<sub>c</sub></i>,<i>f<sub>c</sub></i>,0.5 <i>f<sub>c</sub></i>,"<span class=""root"">3</span> <i>f<sub>c</sub></i>",,A," <p><img src=""/_files/images/electronics-and-communication-engineering/communication-systems/550-206-1.png""/>.</p> "
<p>The generally used value of EHV supply in TV receivers is</p>,1 kV per diagonal cm,1 kV per diagonal inch,0.5 kV per diagonal cm,"0, 5 kV per diagonal inch",,B, <p>It is 1 kV per diagonal inch.</p> 
<p>The number of channels available in MF band (300 kHz - 3 MHz) for AM modulating signal of 20 kHz is</p>,70,67,100,150,,B," <p>In MF band, frequency space available</p>
<p>= 3000 - 300 <img src=""/_files/images/electronics-and-communication-engineering/communication-systems/1-sym-imp.gif""/> 2700 kHz</p>
<p>when AM is used Bandwidth of each channel.</p>
<p>= 2 x 20 kHz = 40 kHz</p>
<p><img src=""/_files/images/electronics-and-communication-engineering/communication-systems/554-916-1.png""/>.</p> "
<p>The function of blend control in stereo system is</p>,to dilute left channel,to dilute right channel,to dilute any of the channels,none of the above,,C, <p>Dilution of the effect of any channel to give balanced output from left and right channels is called blind control.</p> 
