question,A,B,C,D,E,answer,explanation
"<p><p><b>Assertion (A):</b>  In ionic dielectrics, P = P<sub><i>e</i></sub> + P<sub><i>i</i></sub>.</p><p><b>Reason (R):</b>  In ionic crystals, permanent electric dipole moment is zero.</p></p>",Both A and R are true and R is correct explanation of A,Both A and R are true but R is not correct explanation of A,A is true but R is false,A is false but R is true,,A," <p>In ionic dielectrics μ<sub><i>p</i></sub> = ∑<sub><i>i</i></sub> <i>e</i><sub><i>i</i></sub> <i>r</i><sub><i>i</i></sub> and P<sub>o</sub> = 0. </p>
<p>Therefore P = P<sub><i>e</i></sub> + P<sub><i>i</i></sub>.</p> "
<p>The current flow in a semiconductor is due to</p>,holes,electrons,holes and electrons,"holes, electrons and ions",,C,
<p><p><b>Assertion (A):</b>  Relative permittivity is determined by the atomic structure of the material.</p><p><b>Reason (R):</b>  Absolute permittivity is determined by the atomic structure of the material.</p></p>,Both A and R are true and R is correct explanation of A,Both A and R are true but R is not correct explanation of A,A is true but R is false,A is false but R is true,,C,
<p>Eddy current loss is</p>,proportional to frequency,independent of frequency,proportional to (frequency)<sup>2</sup>,proportional to (frequency)<sup>3</sup>,,C,
<p>The dipole moment per unit volume P as a function of E for an insulator is</p>,P = ∈<sub>0</sub> E(∈<sub><i>r</i></sub>),P = ∈<sub>0</sub> E,P = ∈<sub>0</sub>(∈<sub><i>r</i></sub> - 1) E,"P = <img src=""/_files/images/electronics-and-communication-engineering/materials-and-components/257-1.png""/>",,C,
<p>A good dielectric should have</p>,low losses,good heat conductivity,high intrinsic strength,all of the above,,D,
<p>Magnetic hysteresis phenomenon is explained by</p>,motion of domain walls,motion of domain walls and domain rotation,domain rotation,none of the above,,B,
"<p>If a metal specimen has <i>n</i> valence electrons per <i>m</i><sup>3</sup> each having charge <i>e</i> and mass <i>m</i> and <span class=""symbol"">t</span> is the relaxations time, the conductivity is</p>","<img src=""/_files/images/electronics-and-communication-engineering/materials-and-components/100-1.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/materials-and-components/100-2.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/materials-and-components/100-3.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/materials-and-components/100-4.png""/>",,B,
"<p>The relation between thermal conductivity K (W/m/°C), heat flow density Q (watt/m<sup>2</sup>) and <i>d</i>T/<i>dx</i> (°C per metre) is</p>",Q = K(<i>d</i>T/<i>dx</i>),Q = - K(<i>d</i>T/<i>dx</i>),K = Q(<i>d</i>T/<i>dx</i>),<i>d</i>T/<i>dx</i> = - QK,,B,
"<p>As per Matthiessen's rule, the total resistivity <span class=""symbol"">r</span> of a conductor can be written as <span class=""symbol"">r</span> = <span class=""symbol"">r</span><sub><i>i</i></sub> + <i>a</i>T, where <span class=""symbol"">r</span><sub><i>i</i></sub> and <i>a</i> are constants and T is absolute temperature. At very low temperatures</p>",<i>a</i>T = 0,"<i>a</i>T &gt; <span class=""symbol"">r</span><sub><i>i</i></sub>","<i>a</i>T ∼ <span class=""symbol"">r</span><sub><i>i</i></sub>","<i>a</i>T &lt; <span class=""symbol"">r</span><sub><i>i</i></sub>",,D," <p>At very low temperatures <i>a</i> T → 0. Since resistivity has a finite value even at low temperature, <i>a</i> T &lt; <span class=""symbol"">r</span><sub><i>i</i></sub>.</p> "
"<p>Consider the following statement: In case of a superconductor <ol style=""list-style-type: decimal; padding-bottom:10px;""><li style=""padding-top:10px;"">B = 0</li><li style=""padding-top:10px;"">μ<sub><i>r</i></sub> is high</li><li style=""padding-top:10px;"">diamagnetism is high</li><li style=""padding-top:10px;"">transition temperature varies with isotopic mass.</li></ol> Of the above statements</p>",1 and 2 are correct,"2, 3, 4 are correct","1, 3, 4 are correct","2, 4 are correct",,C,
"<p><p><b>Assertion (A):</b>  In liquids and glassy substances, dielectric losses occur. </p><p><b>Reason (R):</b>  The orientation polarization in many substances is frequency dependent.</p></p>",Both A and R are true and R is correct explanation of A,Both A and R are true but R is not correct explanation of A,A is true but R is false,A is false but R is true,,A,
"<p>A single layer air cored coil has <i>n</i> turns and inductance L. If a new coil is formed by having 2<i>n</i> turns while keeping the coil length and diameter the same, the new inductance is</p>",0.5 L,L,2 L,4 L,,D, <p>Inductance is proportional to square of number of turns.</p> 
<p>The colour code on a carbon resistor is yellow-violet-orange. The value of resistance is</p>,17000 Ω,27000 Ω,37000 Ω,47000 Ω,,D,
<p>A dielectric of relative permittivity ∈<sub><i>r</i></sub> is subjected to a homogeneous electric field E. The dipole moment P per unit volume is given by</p>,P = constant,P = ∈<sub>0</sub> E,P = ∈<sub>0</sub>(∈<sub><i>r</i></sub> - 1) E,P = ∈<sub><i>r</i></sub> E,,C,
<p>Which of these has the highest dielectric strength?</p>,Mica,Air,Cotton,Rubber,,A,
"<p>An electron in a metal suffers collision and if the probability of it being scattered over an angle <i>d</i>θ is 2<span class=""symbol"">p</span> P(θ) sin θ <i>d</i>θ where P(θ) is an arbitrary function of scattering angle θ, then</p>","<img src=""/_files/images/electronics-and-communication-engineering/materials-and-components/101-1.png""/>2<span class=""symbol"">p</span>P(θ) sin θ <i>d</i>θ = 0","<img src=""/_files/images/electronics-and-communication-engineering/materials-and-components/101-1.png""/>2<span class=""symbol"">p</span>P(θ) sin θ <i>d</i>θ = 2","<img src=""/_files/images/electronics-and-communication-engineering/materials-and-components/101-1.png""/>2<span class=""symbol"">p</span>P(θ) sin θ <i>d</i>θ = -1","<img src=""/_files/images/electronics-and-communication-engineering/materials-and-components/101-1.png""/>2<span class=""symbol"">p</span>P(θ) sin θ <i>d</i>θ = 1",,C,
"<p>For an insulating material, dielectric strength and dielectric losses should be</p>",high and high,low and high,high and low,low and low,,C, <p>An insulating material should have high dielectric strength and low losses.</p> 
"<p>Consider the following statements <ol style=""list-style-type: decimal; padding-bottom:10px;""><li style=""padding-top:10px;"">An iron cored choke is non linear and passive device.</li><li style=""padding-top:10px;"">A carbon resistor kept in sunlight is a time invariant and passive device.</li><li style=""padding-top:10px;"">A dry cell is a time varying and active device.</li><li style=""padding-top:10px;"">An air capacitor is time invariant and passive device.</li></ol> Of these statements</p>","1, 2, 3 and 4 are correct","1, 2, 3 are correct","1, 2, 4 are correct",2 and 4 are correct,,A,
<p>Some ceramic materials become superconducting</p>,below liquid helium temperature,between liquid helium and liquid nitrogen temperature,above liquid nitrogen but below room temperature,at room temperature,,A,
<p><p><b>Assertion (A):</b>  Doping level in extrinsic semiconductors is very small.</p><p><b>Reason (R):</b>  Additional of impurity in the ratio of 1 part in 10<sup>8</sup> parts increases the number of charge carriers by about 20.</p></p>,Both A and R are true and R is correct explanation of A,Both A and R are true but R is not correct explanation of A,A is true but R is false,A is false but R is true,,A,
<p>The core of an atom consists of</p>,nucleus,nucleus and all orbits,nucleus and inner orbits,none of the above,,C,
<p><p><b>Assertion (A):</b>  Copper is a good conductor of electricity.</p><p><b>Reason (R):</b>  Copper has a face centred cubic lattice.</p></p>,Both A and R are true and R is correct explanation of A,Both A and R are true but R is not correct explanation of A,A is true but R is false,A is false but R is true,,B, <p>Conductivity does not depend on lattice structure.</p> 
"<p>When a dielectric is subjected to an electric field E, each volume element of dielectric can be considered to be carrying an electric dipole moment.</p>",True,False,,,,A,
<p><p><b>Assertion (A):</b>  In an intrinsic semiconductor J = (μ<sub><i>n</i></sub> x μ<sub><i>p</i></sub>)<i>en</i><sub><i>i</i></sub>.</p><p><b>Reason (R):</b>  Intrinsic charge concentration <i>n</i><sub><i>i</i></sub> at temperature T is given by <i>n</i><sub><i>i</i></sub><sup>2</sup> = A<sub>0</sub> T<sup>3</sup> <i>e</i><sup>-E<sub>G0</sub>/<i>k</i>T</sup>.</p></p>,Both A and R are true and R is correct explanation of A,Both A and R are true but R is not correct explanation of A,A is true but R is false,A is false but R is true,,B,
"<p>When the atom of rare gas is placed in an electric field the nucleus shifts from the centre of electron cloud by an amount x. If the radius of electron cloud is <i>R</i>, then</p>",x &lt;&lt; R,"x <img src=""/_files/images/electronics-and-communication-engineering/materials-and-components/1-sym-aa=.gif""/> 0.5 R",x ≅ 0.75 R,x ≅ R,,A,
<p>Macroscopic quantities of a given material</p>,are absolutely constant,are a function of temperature,"are a function of temperature, pressure field",none of the above,,D,
"<p>For a superconductor, the relative permeability is</p>",zero,high,low,either low or high,,A,
<p>The relative permeability of a ferromagnetic material is</p>,1,less than 1,about 10,1000 or more,,D,
"<p>If <i>v</i> is velocity of electron, ε<sub>0</sub> is absolute permittivity, <i>m</i> is mass of electron, <i>e</i> is charge on electron and <i>r</i> is the radius of orbit of electron in hydrogen atom, the stability of orbit requires the following equation to be satisfied</p>","<img src=""/_files/images/electronics-and-communication-engineering/materials-and-components/28-1.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/materials-and-components/28-2.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/materials-and-components/28-3.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/materials-and-components/28-4.png""/>",,B," <p>Centrifugal force is equal to <img src=""/_files/images/electronics-and-communication-engineering/materials-and-components/24-28-1.png""/> and coulomb force is equal to <img src=""/_files/images/electronics-and-communication-engineering/materials-and-components/24-28-2.png""/>.</p>
<p>For stability they must be equal.</p> "
"<p><p><b>Assertion (A):</b>  The equation D = ∈<sub>0</sub>∈<sub><i>r</i></sub>E is applicable only to isotropic materials.</p><p><b>Reason (R):</b>  In polycrystalline materials, the directional effects are absent.</p></p>",Both A and R are true and R is correct explanation of A,Both A and R are true but R is not correct explanation of A,A is true but R is false,A is false but R is true,,B,
"<p><p><b>Assertion (A):</b>  For a dielectric, P = ∈<sub>0</sub>(∈<sub><i>r</i></sub> - 1) E.</p><p><b>Reason (R):</b>  Dipole moment per unit volume is called polarization of dielectric.</p></p>",Both A and R are true and R is correct explanation of A,Both A and R are true but R is not correct explanation of A,A is true but R is false,A is false but R is true,,B, <p>The two statements are correct but independent of each other.</p> 
<p><p><b>Assertion (A):</b>  Ferrites are very useful at very high frequencies.</p><p><b>Reason (R):</b>  Ferrites have high permeability and high resistivity. </p></p>,Both A and R are true and R is correct explanation of A,Both A and R are true but R is not correct explanation of A,A is true but R is false,A is false but R is true,,A,
<p>In a conductor the current flow is due to</p>,holes,electrons,ions,electrons and ions,,B,
