question,A,B,C,D,E,answer,explanation
"<p>If the number of links in a mechanism are equal to <i>l</i>, then the number of possible inversions are equal to</p>",<i>l</i> - 2,<i>l</i> - 1,<i>l</i>,<i>l</i> + 1,,C,
<p>Effort of a governor is the</p>,mean force exerted at the sleeve for a given percentage change of speed,workdone at the sleeve for maximum equilibrium speed,mean force exerted at the sleeve for maximum equilibrium speed,none of the above,,A,
<p>The pressure angle for involute gears depends upon the size of teeth.</p>,Right,Wrong,,,,B,
"<p>The maximum displacement of a body, from its mean position is called amplitude.</p>",True,False,,,,A,
"<p>In a reciprocating steam engine, when the crank has turned from inner dead centre through an angle θ, the angular velocity of the connecting rod is given by</p>","<img src=""/_files/images/mechanical-engineering/theory-of-machines/496-287-1.png""/>","<img src=""/_files/images/mechanical-engineering/theory-of-machines/496-287-2.png""/>","<img src=""/_files/images/mechanical-engineering/theory-of-machines/496-287-3.png""/>","<img src=""/_files/images/mechanical-engineering/theory-of-machines/496-287-4.png""/>",,D,
<p>The total number of instantaneous centres for a mechanism consisting of n links are</p>,<i>n</i>/2,<i>n</i>,<i>n</i> - 1,<i>n</i>(<i>n</i> - 1)/2,,D,
"<p>The acceleration of a particle moving with simple harmonic motion, at any instant is given by</p>",ω<i>x</i>,ω<sup>2</sup><i>x</i>,ω<sup>2</sup>/<i>x</i>,ω<sup>3</sup>/<i>x</i>,,B,
<p>The partial balancing means</p>,balancing partially revolving masses,balancing partially reciprocating masses,best balancing of engines,all of these,,B,
<p>Which of the following statement is correct as regard to the difference between a machine and a structure?</p>,"The parts of a machine move relative to one another, whereas the members of a structure do not move relative to one another","The links of a machine may transmit both power and motion, whereas the members of a structure transmit forces only","A machine transforms the available energy into some useful work, whereas in a structure no energy is transformed into useful work",all of the above,,D,
<p>The coriolis component of acceleration depends upon</p>,velocity of slider,angular velocity of the link,both (a) and (b),none of these,,C,
<p>A mechanism __________ for transmitting or transforming motion.</p>,can be used,can not be used,,,,A,
<p>The distance moved by the valve from one end to the other end is called valve travel.</p>,True,False,,,,A,
<p>The Klein's method of construction for reciprocating engine mechanism</p>,is a simplified version of instantaneous centre method,utilises a quadrilateral similar to the diagram of mechanism for reciprocating engine,enables determination of coriolis component,is based on the acceleration diagram,,B,
<p>A Watt's governor is a spring loaded governor.</p>,Yes,No,,,,B,
<p>The velocity of the rubbing surface __________ with the distance from the axis of the bearing.</p>,increases,decreases,,,,A,
<p>The brake commonly used in railway trains is</p>,shoe brake,band brake,band and block brake,internal expanding brake,,A,
<p>The face of the tooth is the</p>,surface of the top of tooth,surface of tooth above the pitch surface,width of tooth below the pitch surface,width of tooth measured along the pitch circle,,B,
"<p>A Hartnell governor has its controlling force (<i>F<sub>c</sub></i>) given by <i>F<sub>c</sub></i> = <i>ar</i> + <i>b</i>, where <i>r</i> is the radius of rotation and <i>a</i> and <i>b</i> are constants. The governor becomes isochronous when</p>",<i>a</i> is + ve and <i>b</i> = 0,<i>a</i> = 0 and <i>b</i> is + ve,<i>a</i> is + ve and <i>b</i> is - ve,<i>a</i> is + ve and <i>b</i> is also + ve,,A,
<p>The acceleration of the particle moving with simple harmonic motion is __________ at the mean position.</p>,zero,minimum,maximum,,,A,
"<p>In a differential band brake as shown in the below figure, if the length <i>OB</i> is greater than <i>OA</i>, then the force <i>P</i> at <i>C</i> should act in the downward direction. <br/><img src=""/_files/images/mechanical-engineering/theory-of-machines/505-378-1.png""/></p>",Yes,No,,,,B,
