question,A,B,C,D,E,answer,explanation
<p>The main function of intake manifold is that it</p>,promotes the mixture of air and fuel,reduces intake noise,cools the intake air to a suitable temperature,distributes intake air equally to the cylinders,,D,
<p>Positive camber is used to compensate for wheels tilting inward due to the weight of the vehicle.</p>,Yes,No,,,,A,
<p>In automobiles G.V.W. refers to</p>,gross vehicle width,gross vehicle weight,gross vehicle wheel base,gross vehicle wheel track,,B,
<p>The firing order for an in-line four cylinder I.C. engine is</p>,1-2-3-4,1-3-4-2,1-2-4-3,1-3-2-4,,B,
"<p>In a ventilated disc brake,</p>",a duct directs air towards the caliper for cooling while the vehicle is moving,caliper is covered with cooling fins,disc contains many small holes for optimum cooling performance,disc contains radial vanes between its rubbing surfaces for optimum cooling performance,,D,
<p>The effect of having excess camber is</p>,excessive steering alignment torque,hard steering,too much traction,uneven tyre wear,,D,
"<p>If the air-fuel mixture in a spark ignition engine is too rich, then air-fuel ratio is about</p>",17:1,15:1,13:1,10:1,,D,
"<p>The advantage of double-wishbone suspension design is that a large amount of freedom is available for setting geometry and precise settings can be made for driving comfort and steerability,</p>",Correct,Incorrect,,,,A,
<p>The co-efficient of rolling resistance for a truck weighing 63 500 N is 0.018. The rolling resistance to the truck is</p>,1.143 N,11.43 N,114.3 N,1143 N,,D,
"<p>If the level of tension in the belt is too high, it can result in a loss of power or in bending of the rotating shaft or crankshaft.</p>",Correct,Incorrect,,,,A,
"<p>If the air-fuel mixture ignites before the spark takes place at spark plug, the condition is called</p>",detonation,ignition,pre-ignition,rumble,,C,
<p>The information provided by the oxygen (O<sub>2</sub>) sensor to the feedback control system is about the</p>,air-fuel ratio,air temperature,air flow speed,exhaust gas volume,,A,
"<p>The diagram which shows the correct crank positions corresponding to the opening and closing of the valves, is known as</p>",indicator diagram,axial force diagram,valve timing diagram,none of these,,C,
<p>The difference between DOT 3 and DOT 4 brake fluids is</p>,DOT 4 fluid has a higher boiling point than DOT 3 fluid,DOT 4 fluid has a lower boiling point than DOT 3 fluid,"DOT 3 and DOT 4 fluids have the same boiling point, but DOT 4 fluid has a longer service life",DOT 4 fluid is more resistant to freezing than DOT 3 fluid,,A,
"<p>The battery is an electrochemical device, which means battery</p>",makes chemicals by mechanical means,uses chemical action to provide electricity,has curved plates instead of flat plates,does not use an electrolyte,,B,
<p>The operation of removing trapped air from the hydraulic braking system is known as</p>,trapping,tapping,bleeding,cleaning,,C,
<p>The aluminium alloy is used in cylinder blocks because</p>,it is lighter and have good heat dissipation characteristics,material cost is low,it does not require any cylinder liners,the piston is also made of aluminium alloy,,A,
"<p>In a fuel injection system, the electronic control module (ECM) calculates the optimum fuel-injection volume for the engine condition based on the data received from the sensors, and injects this volume of fuel into the intake manifold at the optimum timing.</p>",Correct,Incorrect,,,,A,
"<p>The tilting of the front wheels away from the vertical, when viewed from the front of the car, is called</p>",camber,caster,toe-in,toe-out,,A,
<p>The main function of the tread pattern on tyre is that</p>,"the tread grooves pass air between the tyre and road surface, thereby preventing tyre from overheating",the crests between the tread grooves absorb road noise,"in wet conditions, the tread grooves expel water that is drawn between the tyre and road surface",the tread pattern protects the tyre's inner carcass from small stones and pieces of glass,,C,
<p>The compression ratio in petrol engine is kept less than in Diesel engine because</p>,it makes petrol engines lighter,higher or equivalent compression ratio in petrol engines is not possible due to pre-ignition,less compression ratio gives better performance,it is just customary to have less compression ratio in petrol engines,,B,
<p>The most commonly used supplementary restraint system (SRS) component is</p>,seat belt,brake,airbag,steering,,C,
<p>The natural gas is compressed in a CNG cylinder at a pressure of</p>,200 bar,220 bar,250 bar,300 bar,,A,
<p>The cetane rating of Diesel fuel is in the order of</p>,25,45,70,90,,B,
<p>The air gap between the central electrode and ground (or side) electrode of a spark plug is around</p>,0.2 mm,0.5 mm,1 mm,1.5 mm,,C,
<p>The cetane number of a Diesel fuel is a measure of</p>,volatility,viscosity,ignition quality,delay peirod,,D,
<p>The valve overlap in four stroke petrol engines is approximately</p>,30°,60°,90°,120°,,A,
<p>The petrol engines are also known as</p>,spark ignition (S.I.) engines,compression ignition (C.I.) engines,steam engines,none of these,,A,
<p>Which of the following indicates a multigrade oil ?</p>,SAE 30,API SF,SAE 20 W-50,API 50,,C,
<p>The coefficient of friction for the clutch facing is approximately</p>,0.1,0.4,0.8,1.2,,B,
<p>The component that connects the steering rack to the knuckles is</p>,tie-rod,sector gear,pivot,spline,,A,
