question,A,B,C,D,E,answer,explanation
"<p>In a petrol engine, the high voltage for spark plug is in the order of</p>",1000 volts,2000 volts,11 kilovolts,22 kilovolts,,D,
<p>The piston compression rings are made of</p>,cast iron,steel,aluminium,bronze,,A,
<p>The aspect ratio (expressed in percentage) of the tyre is defined as the ratio of</p>,section width to section height,section height to section width,wheel diameter to section height,wheel diameter to section width,,B,
<p>Two advantages of using helical gears rather than spur gears in a transmission system are</p>,strength and cost,strength and less end thrust,noise level and strength,noise level and economy,,C,
"<p>In order to implement gear changes in the gear unit of an automatic transmission, a __________ is used.</p>",synchronizer,planetary gear,magnetic clutch,hydraulic multi plate clutch,,D,
"<p>When the brake pedal free play is less than the specified value, then the</p>",brake drags,brake fades,vapour locking occurs in the brake lines,antilock braking system malfunctions,,A,
<p>The purpose of turning radius gauges is to measure the</p>,contact areas of the tyres,free play of the steering wheel,turning radius of the left and right wheels,difference in the toe angles of the left and right wheels,,C,
<p>The three basic cylinder arrangements for automotive engines are</p>,"flat, radial, and V","in a row, in line, and opposed","in line, V, and opposed","V, double row, and opposed",,C,
"<p>When the battery is half (50%) charged, the specific gravity of acid in a battery is usually</p>",0.74,1.00,1.12,1.19,,D,
<p>The specific gravity of Diesel is about</p>,0.65,0.75,0.85,0.95,,C,
<p>The service brakes employed in cars are generally operated</p>,mechanically,hydraulically,pneumatically,none of these,,B,
<p>The smooth shift mechanism of an automatic transmission reduces the degree of shock at shifting of gears.</p>,Yes,No,,,,A,
"<p>The seat belt will move out smoothly when pulled out slowly, but it will lock when pulled quickly.</p>",Agree,Disagree,,,,A,
<p>In bias ply tyres</p>,all plies run parallel to one another,belts of steel mesh are used in the tyres,one ply layer runs diagonally one way and another layer runs diagonally the other way,all of the above,,C,
<p>The boiling point of Diesel fuel is in the range of</p>,70°C to 100°C,100°C to 120°C,120°C to 180°C,180°C to 360 °C,,D,
"<p>During braking, the brake shoe is moved outward to force the lining against the</p>",wheel piston or cylinder,anchor pin,brake drum,wheel rim or axle,,C,
