question,A,B,C,D,E,answer,explanation
<p>The steel produced by bessemer or open hearth process is __________ to that produced by L-D process.</p>,superior,inferior,,,,B,
"<p>Crystal structure of a material is, generally, examined by</p>",naked eye,optical microscope,metallurgical microscope,X-ray techniques,,D,
<p>Iron-carbon alloys containing 1.7 to 4.3% carbon are known as</p>,eutectic cast irons,hypo-eutectic cast irons,hyper-eutectic cast irons,none of these,,B,
<p>The coke in the charge of blast furnace</p>,controls the grade of pig iron,acts as an iron-bearing mineral,supplies heat to reduce ore and melt the iron,forms a slag by combining with impurities,,C,
<p>Nimonic contains __________ percentage of nickel as that of Inconel.</p>,same,less,more,,,A,
<p>The heat treatment process used for softening hardened steel is</p>,carburising,normalising,annealing,tempering,,D,
<p>The dieing down of a white flame during the operation of a bessemer converter indicates that the air is burning out silicon and manganese.</p>,Yes,No,,,,B,
<p>The electric process of steel making is especially adopted to</p>,alloy and carbon tool steel,magnet steel,high speed tool steel,all of these,,D,
"<p>Iron ore is, usually, found in the form of</p>",oxides,carbonates,sulphides,all of these,,D,
<p>The hardness of steel increases if it contains</p>,pearlite,ferrite,cementite,martensite,,C,
"<p>In full annealing, the hypo-eutectoid steel is heated from 30° C to 50° C above the upper critical temperature and then cooled</p>",in still air,slowly in the furnace,suddenly in a suitable cooling medium,any one of these,,B,
<p>Ferrite and pearlite makes the steel soft and ductile.</p>,Agree,Disagree,,,,A,
<p>The lower critical temperature</p>,decreases as the carbon content in steel increases,increases as the carbon content in steel increases,is same for all steels,depends upon the rate of heating,,C,
<p>Nodular cast iron is produced by adding __________ to the molten cast iron.</p>,nickel,chromium,copper,magnesium,,D,
<p>Free carbon in iron makes the metal</p>,soft and gives a coarse grained crystalline structure,soft and gives a fine grained crystalline structure,hard and gives a coarse grained crystalline structure,hard and gives a fine grained crystalline structure,,A,
<p>The cupola is used to manufacture</p>,pig iron,cast iron,wrought iron,steel,,B,
<p>The type of space lattice found in gamma-iron is</p>,face centred cubic space lattice,body centred cubic space lattice,close packed hexagonal space lattice,none of these,,A,
"<p>The property of a material due to which it breaks with little permanent distortion, is called</p>",brittleness,ductility,malleability,plasticity,,A,
