question,A,B,C,D,E,answer,explanation
<p>One volt equals</p>,one joule,one joule/coulomb,one coulomb/joule,none of the above,,C,
<p>Magnetic susceptibility of a medium is the ratio of</p>,magnetic field strength to mmf,intensity of magnetization to magnetic flux density,intensity of magnetization to field strength,mmf to magnetic field strength,,C,
"<p>In order to receive a vertically polarized wave, the conductor of the dipole should be mounted</p>",horizontally,vertically,at an angle of 45°,none of the above,,B,
<p>Which of the following statements is <i>incorrect</i>?</p>,The line integral of B around the circuit is called magnetomotive force,Normal components of B are continuous but the normal components of H are not continuous,Magnetic flux lines are bent away from the normal in the medium with the highest value of permeability,The unit of permeability is henry/metre,,A,
<p>Reflectors and lens antennas are commonly used</p>,in LF communication systems,not beyond 100 kHz,in the range 10 MHz to 100 MHz,above 100 MHz,,D,
<p>In case of concentric conductors of radius <i>a</i> and <i>b</i> the value of capacitance (C) is given by</p>,C = 0,"<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/193-166-1.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/193-166-2.png""/>",none of the above,,C,
"<p>In a uniform linear array, four isotropic radiating elements are spaced λ/4 apart. The progressive phase shift between the elements required for forming the main beam at 60° off the end fire is</p>","- <span class=""symbol"">p</span> radius","- <img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/182-9.51-1.png""/> radius","- <img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/202-384-1.png""/> radius","- <img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/202-384-2.png""/> radius",,C,
"<p>When a coil consisting of single turn rotates at a uniform speed in a magnetic field, the induced e.m.f. is</p>",changing,reversing,steady,alternating,,D,
"<p>Short-circuited stubs are used, because open-circuited stubs are</p>",liable to radiate,complex in nature,providing open-circuit environments,unable to provide work over large frequency range,,A,
<p>Directivity and beamwidth is related as</p>,D ∝ B,D ∝ 1/B,"D ∝ <span class=""root"">B</span>",D ∝ B<sup>2</sup>,,B,
"<p>An arrangement of several individual antennas to spaced and phased that their individual contributions combine in one preferred direction and cancel in all other directions, to get greater directive gain or directivity, is known as</p>",directional radiation of antennas,antenna gain stability,array of antennas,none of the above,,C,
<p>The complex Poynting vector for electromagnetic wave.</p>,"<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/56-3.94-2.png""/>Im(E x H<sup>x</sup>)","<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/56-3.94-2.png""/>Re(E x H<sup>x</sup>)","<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/56-3.94-2.png""/>(E x H)",E x H,,B,
<p>300 to 3000 MHz frequency is categorized as</p>,MF,HF,UHF,SHF,,C,
"<p>The gain of an antenna with a circular aperture of diameter 3 metres at a frequency of 5 GHz, will be</p>",2.4674,24.674,246.74,24674,,D,
<p>The gain of a current element is</p>,0 dB,1.67 dB,1.76 dB,3 dB,,C,
"<p>Poynting theorem relates the electric intensity E, magnetic intensity H to the rate of energy flow per unit area at a point P as</p>",P = E/H,P = H/E,E = 1/E x H,P = E x H,,D,
<p>The absorption of EM wave by the atmosphere depends on</p>,polarization of waves,frequency in use,dist. from T<sub><i>y</i></sub>,height of antenna,,B,
