question,A,B,C,D,E,answer,explanation
<p>A ship-to-ship communication system is plagued by fading. The best solution seems to be the use of</p>,space diversity,frequency diversity,a broad band antenna,a more directional antenna,,B,
<p>Which one of the following is not a correct Maxwell equation?</p>,"<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/198-274-1.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/198-274-2.png""/>",∇ x D = <i>f</i>,"<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/198-274-3.png""/>",,B,
"<p>If a wave is propagated in free space, it will be in nature of</p>",TE,TM,TEM,Any one of above,,C,
<p>When the height of a vertical earthed antenna is less than λ/4</p>,the base input impedance will be capacitive,the base input impedance will be purely resistive,the base input impedance will be inductive,the base input impedance will be negligibly small,,A,
<p>Which of the following is a circularly polarized antenna?</p>,Rhombic,Circular loop,Helical,Yagi,,C,
<p>Television signals are propagated as ground waves.</p>,True,False,,,,A,
<p>The current distribution along a travelling wave antenna can be written in the form</p>,<i>f</i>(<i>z</i>) = <i>f</i><sub>0</sub>e<sup>-<i>j</i>β<sub><i>z</i></sub></sup>,<i>f</i>(<i>z</i>) = <i>f</i><sub>0</sub> sin β<sub><i>z</i></sub>,<i>f</i>(<i>z</i>) = <i>f</i><sub>0</sub>,<i>f</i>(<i>z</i>) = <i>f</i><sub>0</sub> cos (ω<i>t</i> - β<sub><i>z</i></sub>),,D,
<p>The characteristic impedance of loss less transmission line is</p>,L/R,"<span class=""root"">L/C</span>","<span class=""root"">1/LC</span>","<span class=""root"">C/L</span>",,B,
"<p>For a hollow waveguide, the axial current must necessarily be</p>",combination of conduction and displacement current,conduction current only,time varying conduction current and displacement current,displacement current only,,D,
<p>Industrial heating furnaces such as arc and induction furnaces operate on __________ power factor</p>,low leading,low lagging,high leading,very low lagging,,D,
<p>The magnetic field due to current I equals</p>,"I/2 <span class=""symbol"">p</span><i>r</i>","I/4 <span class=""symbol"">p</span><i>r</i>","I<sup>2</sup>/2 <span class=""symbol"">p</span><i>r</i>","I<sup>2</sup>/4 <span class=""symbol"">p</span><i>r</i>",,A,
<p>VLF is generally used for</p>,telegraphy,satellite communication,instrument landing system,all of the above,,A,
<p>In electromagnetic wave polarization is caused by</p>,refraction,reflection,longitudinal nature of electromagnetic waves,transverse nature of electromagnetic waves,,D,
<p>In a rectangular waveguide if operating frequency is greater than cut off frequency then propagation constant is</p>,purely real,purely imaginary,equal to unit,a complex number,,B,
<p>Isotropic radiator is one that radiates energy</p>,uniformly in all direction,inside a hollow sphere,in a well defined isotropic direction,none of the above,,A,
<p>The number of lobes on each side of a 31 resonant antenna will be</p>,2,3,4,6,,D,
<p>Analysis of EM wave in waveguide based on</p>,circuit theory,field theory,optical theory,both (a) and (b),,B,
<p>The main difference between the broadside arrays and end fire arrays is that</p>,individual elements are fed with same current in broadside arrays and of different magnitude in end fire arrays,in broadside arrays the elements are equidistant whereas in end fire array the distance between elements increases progressively,the total number of elements in broadside array is always one and a half times that of elements in end fire arrays,"in broadside array the individual elements are fed in, out of phase by 180° whereas in end fire array individual elements are fed with currents of equal magnitude but their phases vary progressively along the line in such a way as to make the entire arrangement substantially unidirectional",,D,
<p>The charges between a hollow and solid metal spheres reside</p>,through out in both,on outer surface in hollow and through out in solid,on the outer surface in both,none of the above,,C,
<p>Maximum usable frequency is [<i>f</i><sub>muf</sub>]</p>,<i>f<sub>c</sub></i> sec <i>i</i>,<i>f<sub>c</sub></i> cos <i>i</i>,<i>f<sub>c</sub></i> sin <i>i</i>,"<i>f<sub>c</sub></i> <span class=""root"">sec <i>i</i></span>",,A,
<p>During day time ionosphere consist of</p>,"D, E, F<sub>2</sub> layers","D, E, F layers","D, E, F<sub>1</sub>, F<sub>2</sub> layer",none,,C,
<p>Divergence theorem relate surface integration with volume integration as</p>,"<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/193-165-1.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/193-165-2.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/electromagnetic-field-theory/193-165-3.png""/>",none of the above,,A,
"<p>To couple a coaxial line to a parallel wire line, it is best to use a</p>",balun,slotted line,quarter wave transformer,directional coupler,,A,
<p>Which of the following is λ/2 length?</p>,Marconi,Hertz,Parabolic,Yagi-uda,,B,
<p>Which of the following is the main difference between waveguide and transmission line?</p>,Waveguides cannot be coupled to coaxial lines,Waveguides have no standing wave ratio,Transmission line does not suffer from the effect of low cut off frequency,Waveguides are not distributed like transmission lines,,C,
<p>Surface impedance at high frequencies is a consideration for</p>,ferrites,semiconductors,good conductors,dielectrics,,C,
<p>In a uniform plane wave E and H are related by</p>,E/H = 1,"E/H = <span class=""root"">ε/μ</span>","E/H = <span class=""root"">μ/ε</span>",none of the above,,C,
<p>Antenna beamwidth is</p>,measure of directivity,measure of angle,measure of radiation pattern,measure of power pattern,,A,
<p>The pure capacitor connected across an A.C. voltage consumed 20 W. This is due to</p>,the capacitive reactance in ohms,the current flowing in the capacitor,the fused capacitor was a big one,none of the above,,D,
<p>A dominant wave is characterised by which of the following?</p>,No attenuation,Lowest cut off wavelength,Highest cut off wavelength,All of the above,,C,
<p>The cut off wavelength λ<sub><i>c</i></sub> for TE<sub>20</sub> mode for a standard rectangles waveguide is</p>,2/<i>a</i>,2<i>a</i>,<i>a</i>,2<i>a</i><sup>2</sup>,,C,
<p>F<sub>2</sub> layer of atmosphere extends from</p>,250 km to 400 km,150 km to 250 km,50 km to 150 km,15 km to 50 km,,A,
"<p>Whereas resonant antenna is bidirectional, non-resonant antenna is unidirectional.</p>",True,False,,,,A,
"<p>In radar system if the antenna diameter is increased by a factor of 4, the minimum range will increased by a factor of</p>","<span class=""root"">1</span>",2,"2<span class=""root"">2</span>",4,,D,
<p>Which of the following antennas is λ /4 length?</p>,Dipole,Marconi,Monopole,Parabolic,,A,
