question,A,B,C,D,E,answer,explanation
<p>Which of the following is correct?</p>,Absolute pressure = Gauge pressure + Atmospheric pressure,Gauge pressure = Absolute pressure + Atmospheric pressure,Atmospheric pressure = Absolute pressure + Gauge pressure,Absolute pressure = Gauge pressure - Atmospheric pressure,,A,
"<p>The distillation carried out in such a way that the liquid with the lowest boiling point is first evaporated and recondensed, then the liquid with the next higher boiling point is then evaporated and recondensed, and so on until all the available liquid fuels are separately recovered in the sequence of their boiling points. Such a process is called</p>",cracking,carbonisation,fractional distillation,full distillation,,C,
<p>Which of the following statement is incorrect?</p>,The liquid fuels consist of hydrocarbons.,The liquid fuels have higher calorific value than solid fuels.,The solid fuels have higher calorific value than liquid fuels.,A good fuel should have low ignition point.,,C,
<p>Which of the following gas is mostly used in town for street and domestic lighting and heating?</p>,Producer gas,Coal gas,Mond gas,Coke oven gas,,B,
<p>The value of gas constant (<i>R</i>) in S. I. units is</p>,0.287 J/kgK,2.87 J/kgK,28.7 J/kgK,287 J/kgK,,D,
"<p>In the first law of thermodynamics, the total energy of the system remains constant.</p>",True,False,,,,A,
<p>The efficiency of Diesel cycle increases with</p>,decrease in cut-off,increase in cut-off,constant cut-off,none of these,,A,
<p>Coal gas is obtained by mixing coal and gas at ambient conditions.</p>,Yes,No,,,,B,
"<p>According to Avogadro's law, the density of any two gases is __________ their molecular masses, if the gases are at the same temperature and pressure.</p>",equal to,directly proportional to,inversely proportional to,,,B,
<p>The kinetic energy of molecules of a gas becomes zero at absolute zero temperature.</p>,Agree,Disagree,,,,A,
<p>One kg of carbon monoxide requires __________ kg of oxygen to produce 11/7 kg of carbon dioxide gas.</p>,All,4/7,11/4,9/7,,B,
<p>The absolute zero temperature is taken as</p>,-273°C,273°C,237°F,-237°F,,A,
<p>The specific heat of water is</p>,1.817,2512,4.187,none of these,,C,
"<p>The constant pressure, constant volume and constant pvn processes are regarded as irreversible process.</p>",True,False,,,,A,
<p>Stirling and Ericsson cycles are</p>,reversible cycles,irreversible cycles,semi-reversible cycles,quasi-static cycles,,A,
<p>When cut-off ratio is __________ the efficiency of Diesel cycle approaches to Otto cycle efficiency.</p>,zero,1/5,4/5,1,,A,
"<p>A series of operations, which takes place in a certain order and restore the initial conditions at the end, is known as</p>",reversible cycle,irreversible cycle,thermodynamic cycle,none of these,,C,
<p>An isothermal process is governed by</p>,Boyle's law,Charles' law,Gay-Lussac law,Avogadro's law,,A,
<p>The sum of internal energy (<i>U</i>) and the product of pressure and volume (<i>p</i>.<i>v</i>) is known as</p>,workdone,entropy,enthalpy,none of these,,C,
<p>The value of 1 mm of Hg is equal to</p>,1.333 N/m<sup>2</sup>,13.33 N/m<sup>2</sup>,133.3 N/m<sup>2</sup>,1333 N/m<sup>2</sup>,,C,
<p>One kg of carbon requires 4/3 kg of oxygen and produces __________ kg of carbon monoxide gas.</p>,8/3,11/3,11/7,7/3,,D,
"<p>The behaviour of a perfect gas, undergoing any change in the variables which control physical properties, is governed by</p>",Boyle's law,Charles' law,Gay-Lussac law,all of these,,D,
<p>The universal gas constant of a gas is the product of molecular mass of the gas and the gas constant.</p>,Correct,Incorrect,,,,A,
