question,A,B,C,D,E,answer,explanation
<p>The product layout</p>,lowers overall manufacturing time,requires less space for placing machines,utilises machine and labour better,all of these,,D,
<p>An event is a function of two or more activities.</p>,Correct,Incorrect,,,,A,
<p>The mathematical technique for finding the best use of limited resources of a company in the maximum manner is known as</p>,value analysis,network analysis,linear programming,queuing theory,,C,
<p>The factors to be considered for production scheduling are</p>,component design,route sheet,time standards,all of these,,D,
<p>Product layout is best suited where</p>,one type of product is produced,product is standardised,product is manufactured in large quantities,all of the above,,D,
<p>Break even analysis consists of</p>,fixed expenses,variable cost,sales revenue,all of these,,D,
<p>Line organisation is suitable for</p>,sugar industries,oil refining industries,spinning and weaving industries,all of these,,D,
<p>Slack represents the difference between the</p>,earliest completion time and latest allowable time,latest allowable time and earliest completion time,earliest completion time and normal expected time,latest allowable time and normal allowable time,,A,
<p>Acceptance sampling is used in</p>,job production,batch production,mass production,all of these,,C,
<p>Queuing theory is used for</p>,job-shop scheduling,inventory problems,traffic congestion studies,all of these,,D,
<p>Which of the following statement is correct?</p>,"When slack of an activity is zero, it falls only on critical path.",CPM technique is useful to minimise the direct and indirect expenses.,Critical path of a net work represents the minimum time required for completion of project.,all of the above,,D,
<p>Break even point is the point where</p>,fixed and variable cost lines intersect,fixed and total cost lines intersect,variable and total cost lines intersect,sales revenue and total expensive lines intersect,,D,
"<p>In a thermal power plant, coal from the coal handling plant is moved to the boiler bunker through a</p>",belt conveyor,bucket conveyor,fork lift truck,overhead crane,,A,
<p>When slack of an activity is positive</p>,it represents a situation where extra resources are available and the completion of project is not delayed,it represents that a programme falls behind schedule and additional resources are required to complete the project in time,the activity is critical and any delay in its performance will delay the completion of whole project,any one of the above,,A,
"<p>For a small scale industry, the fixed cost per month is Rs. 5000. The variable cost per product is Rs. 20 and sales price is Rs. 30 per piece. The break even production per month will be</p>",300,460,500,1000,,C,
<p>Follow-up prescribes the sequence of operations to be followed.</p>,Correct,Incorrect,,,,A,
<p>Dummy activities are used to</p>,determine the critical path,determine the project completion time,maintain the required net work,none of these,,C,
<p>Which of the following statement is wrong?</p>,An activity consume time and resources whereas an event do not consume time or resources.,The performance of a specific task is called an activity.,An event is an instantaneous point in time at which an activity begins or ends.,The turning of a job on lathe is an event whereas job turned is an activity.,,D,
"<p>If <i>F</i> is the fixed cost, <i>V</i> is the variable cost per unit (or total variable costs) and <i>P</i> is the selling price of each unit (or total sales value), then break even point is equal to</p>","<img src=""/_files/images/mechanical-engineering/industrial-engineering-and-production-management/739-41-1.png""/>","<img src=""/_files/images/mechanical-engineering/industrial-engineering-and-production-management/739-41-2.png""/>","<img src=""/_files/images/mechanical-engineering/industrial-engineering-and-production-management/739-41-3.png""/>","<img src=""/_files/images/mechanical-engineering/industrial-engineering-and-production-management/739-41-4.png""/>",,D,
<p>CPM stands for</p>,Combined Process Method,Critical Path Method,Common Planning Method,Critical Process Method,,B,
<p>The average time recorded by work study man for an operation is called</p>,standard time,normal time,representative time,none of these,,C,
"<p>In value engineering, important consideration is given to</p>",customer satisfaction,function concept,profit maximisation,cost reduction,,D,
<p>The unit cost in case of batch production is __________ as compared to jobbing production.</p>,same,low,high,,,B,
