question,A,B,C,D,E,answer,explanation
<p>The production cost per unit can be reduced by</p>,producing more with increased inputs,producing more with the same inputs,eliminating idle time,minimising resource waste,,B,
"<p>In manufacturing management, the term 'Dispatching' is used to describe</p>",dispatch of sales order,dispatch of factory mail,dispatch of finished product of the user,dispatch of work orders through shop floor,,D,
<p>Product layout is also known as</p>,analytical layout,synthetic layout,static product layout,none of these,,B,
"<p>When slack of an activity is zero, the activity is critical and any delay in its performance will delay the completion of the whole project.</p>",Yes,No,,,,A,
<p>The work study is done by means of</p>,planning chart,process chart,stop watch,any one of these,,C,
<p>In fixed position layout</p>,total production cost is less,material movement is less,capital investment is minimum,all of these,,D,
<p>The factors which are to be considered while developing a good wage incentive plan will include</p>,adequate incentive,ease of administration,guaranteed basic pay,all of these,,D,
<p>Work study is mainly aimed at</p>,determining the most efficient method of performing a job,establishing the minimum time of completion of a job,developing the standard method and standard time of a job,economising the motions involved on the part of the worker while performing a job,,A,
"<p>The type of organisation preferred for an automobile industry, is</p>",line organisation,functional organisation,line and staff organisation,"line, staff and functional organisation",,C,
<p>Product layout is used for</p>,job production,batch production,mass production,any one of these,,C,
