question,A,B,C,D,E,answer,explanation
<p>The expression <i>Q</i> = ρ <i>AT</i><sup>4</sup> is called</p>,Fourier equation,Stefan-Boltzmann equation,Newton-Rikhmann equation,Joseph-Stefan equation,,B,
<p>Thermal conductivity of solid metals __________ with rise in temperature.</p>,remains same,decreases,increases,,,B,
<p>The horizontal and non-uniformly spaced lines on a psychrometric chart indicates</p>,dry bulb temperature,wet bulb temperature,dew point temperature,specific humidity,,C,
"<p>A reversible engine has ideal thermal efficiency of 30%. When it is used as a refrigerating machine with all other conditions unchanged, the coefficient of performance will be</p>",1.33,2.33,3.33,4.33,,B,
<p>Which of the following refrigerant is highly toxic and flammable?</p>,Ammonia,Carbon dioxide,Sulphur dioxide,R-12,,A,
<p>The unit of Stefan-Boltzmann constant is</p>,Watt/mK,Watt/m<sup>2</sup>K<sup>2</sup>,Watt/m<sup>2</sup>K<sup>4</sup>,Watt/mK<sup>2</sup>,,C,
<p>The emissive power of a body depends upon its</p>,temperature,physical nature,wave length,all of these,,D,
<p>An electric cable of aluminium conductor (<i>k</i> = 240 W/mK) is to be insulated with rubber (<i>k</i> = 0.15 W/mK). The cable is to be located in air (<i>h</i> = 6 W/m<sup>2</sup>). The critical thickness of insulation will be</p>,25 mm,40 mm,160 mm,800 mm,,A,
"<p>A cube at high temperature is immersed in a constant temperature bath. It loses heat from its top, bottom and side surfaces with heat transfer coefficients of <i>h</i><sub>1</sub>, <i>h</i><sub>2</sub> and <i>h</i><sub>3</sub> respectively. The average heat transfer coefficient for the cube is</p>",<i>h</i><sub>1</sub> + <i>h</i><sub>2</sub> + <i>h</i><sub>3</sub>,(<i>h</i><sub>1</sub><i>h</i><sub>2</sub><i>h</i><sub>3</sub>)<sup>1/3</sup>,"<img src=""/_files/images/mechanical-engineering/heat-transfer-refrigeration-and-air-conditioning/406-39-1.png""/>",none of these,,D,
"<p>The dehumidification process, on the psychrometric chart, is shown by</p>",horizontal Sine,vertical line,inclined line,curved line,,B,
<p>The vertical and uniformly spaced lines on a psychrometric chart indicates</p>,dry bulb temperature,wet bulb temperature,dew point temperature,specific humidity,,A,
"<p>In case of sensible heating of air, the coil efficiency is given by (where B.P.F. = By-pass factor)</p>",B.P.F. - 1,1 - B.P.F.,"<img src=""/_files/images/mechanical-engineering/heat-transfer-refrigeration-and-air-conditioning/432-352-1.png""/>",1 + B.RF.,,B,
<p>The coefficient of performance (C.O.P.) is the reciprocal of the efficiency of a heat engine.</p>,True,False,,,,A,
<p>The wet bulb temperature at 100% relative humidity is __________ dry bulb temperature.</p>,same as,lower than,higher than,,,A,
<p>The freezing point of sulphur dioxide is</p>,-56.6°C,-75.2°C,-77.7°C,-135.8°C,,B,
"<p>The ratio of the energy absorbed by the body to the total energy falling on it, is called</p>",absorptive power,emissive power,emissivity,none of these,,A,
<p>The coefficient of performance of a domestic refrigerator is __________ as compared to a domestic air-conditioner.</p>,same,less,more,,,B,
"<p>The process of heat transfer from one particle of the body to another is called conduction, when the particles of the body</p>",move actually,do not move actually,affect the intervening medium,does not affect the intervening medium,,B,
<p>The human body feels comfortable when the heat stored in the body is</p>,positive,negative,zero,none of these,,C,
"<p>A Bell Coleman refrigerator working on dense air system as compared to open air system, for the same range of temperature, results in __________ power per tonne of refrigeration.</p>",same,lower,higher,,,B,
<p>The amount of heat flow through a body by conduction is</p>,directly proportional to the surface area of the body,directly proportional to the temperature difference on the two faces of the body,inversely proportional to the thickness of the body,all of the above,,D,
"<p>A furnace is made of a red brick wall of thickness 0.5 m and conductivity 0.7 W/mK. For the same heat loss and temperature drop, this can be replaced by a layer of diatomite earth of conductivity 0.14 W/mK and thickness</p>",0.5 m,0.1 m,0.2 m,0.5 m,,B,
"<p>In a refrigeration system, the expansion device is connected between the</p>",compressor and condenser,condenser and receiver,receiver and evaporator,evaporator and compressor,,C,
<p>The heat rejection factor (HRF) is given by</p>,1 + C.O.P,1 - C.O.P.,"<img src=""/_files/images/mechanical-engineering/heat-transfer-refrigeration-and-air-conditioning/425-264-1.png""/>","<img src=""/_files/images/mechanical-engineering/heat-transfer-refrigeration-and-air-conditioning/425-264-2.png""/>",,C,
<p>Wein's law states that the wave length corresponding to __________ is proportional to the absolute temperature.</p>,minimum energy,maximum energy,,,,B,
"<p>In a domestic vapour compression refrigerator, the refrigerant commonly used is</p>",CO<sub>2</sub>,Ammonia,<i>R</i>-12,all of these,,C,
"<p>In order to cool and dehumidify a stream of moist air, it must be passed over the coil at a temperature</p>",which lies between the dry bulb and wet bulb temperatures of the incoming stream,which lies between the wet bulb and dew point temperatures of the incoming stream,which is lower than the dew point temperature of the incoming stream,of adiabatic saturation of incoming stream,,C,
<p>The coefficient of performance of vapour compression refrigeration system is quite __________ as compared to air refrigeration system.</p>,low,high,,,,B,
"<p>In order to collect liquid refrigerant and to prevent it from going to a __________ , a device known as accumulator is used at the suction of compressor.</p>",compressor,condenser,expansion valve,evaporator,,A,
<p>Which of the following refrigerant has the lowest boiling point?</p>,Ammonia,Carbon dioxide,Sulphur dioxide,R-12,,B,
"<p>During sensible cooling of air, the relative humidity increases.</p>",Yes,No,,,,A,
"<p>In actual air-conditioning applications for R-12 and R-22, and operating at a condenser temperature of 40° C and an evaporator temperature of 5° C, the heat rejection factor is about</p>",1,1.25,2.15,5.12,,B,
<p>The undesireable property of a refrigerant is</p>,non-toxic,non-flammable,non-explosive,high boiling point,,D,
<p>The dry bulb temperature during sensible heating of air</p>,remains constant,increases,decreases,,,B,
"<p>Radiation is the process of heat transfer in which heat flows from a __________ , in a straight line, without affecting the intervening medium.</p>",cold body to hot body,hot body to cold body,smaller body to larger body,larger body to smaller body,,B,
"<p>The heating of air, without any change in its specific humidity, is known as sensible heating.</p>",True,False,,,,A,
