question,A,B,C,D,E,answer,explanation
<p>Planck's law holds good for all coloured bodies.</p>,True,False,,,,A,
"<p>In mechanical refrigeration system, the refrigerant has the maximum temperature</p>",in evaporator,before expansion valve,between compressor and condenser,between condenser and evaporator,,C,
<p>The capacity of a domestic refrigerator is in the range of</p>,0.1 to 0.3 TR,1 to 3 TR,3 to 5 TR,5 to 7 TR,,A,
<p>The condition of refrigerant after passing through the condenser in a vapour compression system is</p>,saturated liquid,wet vapour,dry saturated vapour,superheated vapour,,A,
<p>The leakage in a refrigeration system using freon is detected by</p>,halide torch,sulphur sticks,soap and water,all of these,,A,
"<p>If the condenser temperature is kept constant, the coefficient of performance of a refrigeration cycle increases with the increase in evaporator temperature.</p>",Yes,No,,,,A,
"<p>The process of heat transfer from one particle of the fluid to another by the actual movement of the fluid particles caused by some mechanical means, is known as</p>",conduction,free convection,forced convection,radiation,,C,
"<p>When α is absorptivity, ρ is reflectivity and τ is transmittivity, then for a diathermanous body,</p>","α = 1, ρ = 0 and τ = 0","α = 0, ρ = 1 and τ = 0","α = 0, ρ = 0 and τ = 1",α + ρ = 1 and τ = 0,,D,
"<p>When there is an addition of water vapour to the air of enclosed space, a gain in __________ is said to occur.</p>",sensible heat,latent heat,,,,B,
<p>The relative humidity __________ as air gets drier.</p>,increases,decreases,,,,A,
<p>The central air conditioning system has __________ overall efficiency as compared to individual systems.</p>,same,lower,higher,,,C,
<p>The ratio of the emissive power and absorptive power of all bodies is the same and is equal to the emissive power of a perfectly black body. This statement is known as</p>,Wien's law,Stefan's law,Kirchhoff's law,Planck's law,,C,
<p>An ordinary passenger aircraft requires a cooling system of capacity.</p>,2 TR,4 TR,8 TR,10 TR,,C,
"<p>In air-conditioning of aeroplanes, using air as a refrigerant, the cycle used is</p>",reversed Carnot cycle,reversed Joule cycle,reversed Brayton cycle,reversed Otto cycle,,C,
<p>The thermal diffusivity for solids is generally less than those for liquids and gases.</p>,True,False,,,,B,
<p>Conduction is the process of heat transfer from one particle of the body to another by the actual motion of the heated particles.</p>,True,False,,,,B,
<p>Moisture should be removed from refrigerants to avoid</p>,freezing at the expansion valve,restriction to refrigerant flow,corrosion of steel plates,all of these,,D,
<p>Which of the following statement is wrong?</p>,The value of C.O.P. is always greater than one.,"In a vapour compression system, the condition of refrigerant before entering the compressor is dry saturated vapour.","The space between the saturated liquid line and saturated vapour line, in a pressure enthalpy chart, is wet vapour region.",none of the above,,D,
"<p>During humidification process, dry bulb temperature</p>",remains constant,increases,decreases,,,A,
<p>Fourier's law of heat conduction gives the heat flow for</p>,irregular surfaces,non-uniform temperature surfaces,one dimensional cases only,two dimensional cases only,,C,
<p>The product of Reynolds number and Prandtl number is known as</p>,Stanton number,Biot number,Peclet number,Grashoff number,,C,
<p>Carbon dioxide is</p>,colourless,odourless,non-flammable,all of these,,D,
<p>The reduced ambient air cooling system has</p>,one cooling turbine and one heat exchanger,one cooling turbine and two heat exchangers,two cooling turbines and one heat exchanger,two cooling turbines and two heat exchangers,,C,
<p>The heat of sun reaches to us according to</p>,conduction,convection,radiation,none of these,,C,
<p>The specific humidity during humidification process</p>,remains constant,increases,decreases,,,B,
